year,male,female,total
2019,3428,3357,6785
2020,3432,3369,6801
2021,3436,3378,6814
2022,3438,3389,6827
2023,3440,3400,6840
2024,3440,3410,6850
2025,3441,3423,6864
2026,3439,3431,6870
2027,3438,3432,6870
2028,3432,3432,6864
2029,3427,3429,6856
2030,3420,3422,6842
2031,3412,3415,6827
2032,3404,3408,6812
2033,3396,3403,6799
2034,3386,3396,6782
2035,3380,3393,6773
2036,3371,3385,6756
2037,3360,3376,6736
2038,3347,3367,6714
2039,3335,3358,6693
2040,3315,3348,6663
2041,3290,3339,6629
2042,3262,3323,6585
2043,3233,3304,6537
2044,3206,3282,6488
2045,3182,3266,6448
2046,3158,3248,6406
2047,3136,3227,6363
2048,3112,3205,6317
2049,3088,3181,6269
2050,3062,3156,6218
2051,3035,3126,6161
2052,3006,3095,6101
2053,2974,3060,6034
2054,2938,3025,5963
2055,2908,2991,5899
2056,2872,2953,5825
2057,2837,2915,5752
2058,2798,2872,5670
2059,2757,2834,5591
2060,2714,2795,5509
2061,2673,2758,5431
2062,2633,2719,5352
2063,2594,2677,5271
2064,2555,2634,5189
2065,2517,2594,5111
