year,male,female,total
2019,8616,8147,16763
2020,8608,8159,16767
2021,8601,8170,16771
2022,8588,8179,16767
2023,8571,8186,16757
2024,8551,8192,16743
2025,8536,8203,16739
2026,8519,8207,16726
2027,8498,8210,16708
2028,8475,8207,16682
2029,8448,8200,16648
2030,8417,8189,16606
2031,8381,8177,16558
2032,8339,8165,16504
2033,8292,8149,16441
2034,8242,8124,16366
2035,8200,8110,16310
2036,8152,8087,16239
2037,8099,8062,16161
2038,8041,8037,16078
2039,7981,8009,15990
2040,7917,7978,15895
2041,7850,7937,15787
2042,7778,7893,15671
2043,7700,7844,15544
2044,7625,7793,15418
2045,7552,7746,15298
2046,7478,7697,15175
2047,7401,7643,15044
2048,7320,7587,14907
2049,7237,7530,14767
2050,7153,7471,14624
2051,7069,7407,14476
2052,6985,7340,14325
2053,6900,7272,14172
2054,6816,7202,14018
2055,6736,7141,13877
2056,6655,7073,13728
2057,6575,7002,13577
2058,6492,6924,13416
2059,6408,6847,13255
2060,6323,6771,13094
2061,6240,6692,12932
2062,6155,6611,12766
2063,6074,6529,12603
2064,5992,6445,12437
2065,5915,6364,12279
