統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10402,新竹縣竹北市,中興里,3015,7357,3672,3685,83,62,85,76,98,82,94,97,84,76,94,84,83,90,85,84,61,50,57,58,49,29,30,31,26,37,42,32,36,31,38,38,33,29,40,37,40,26,32,28,26,36,26,38,30,36,24,32,38,21,34,25,26,19,20,23,22,27,31,35,25,50,45,50,48,79,61,81,80,103,99,121,110,134,119,123,135,164,112,124,104,115,115,90,109,91,81,88,94,76,90,43,76,55,55,50,41,35,40,39,43,41,34,52,47,33,32,32,30,30,25,38,28,30,28,31,24,25,26,22,10,21,14,31,18,17,26,19,18,22,13,16,21,18,10,4,4,9,9,7,5,12,6,4,6,8,4,8,8,5,2,4,9,5,8,5,9,8,4,8,6,4,4,10,7,5,5,3,7,3,2,1,2,1,3,0,1,3,4,4,0,0,1,2,0,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,
10402,新竹縣竹北市,北崙里,1642,5153,2506,2647,23,23,24,19,38,32,41,38,24,27,48,45,43,38,35,46,47,41,37,45,52,51,42,40,63,50,43,43,61,52,48,51,58,53,59,49,57,35,45,39,44,50,38,33,39,37,35,37,35,36,24,27,23,28,23,22,19,20,23,24,23,30,29,32,34,43,45,38,37,41,35,49,41,55,28,51,37,65,32,41,34,49,43,40,44,42,36,61,47,72,42,64,58,61,46,55,48,51,44,43,42,43,46,42,52,39,32,26,22,20,29,29,25,19,17,24,25,26,20,14,13,23,19,24,19,18,12,19,8,11,13,13,10,9,11,10,8,6,10,9,12,7,5,11,7,10,6,9,6,10,9,9,12,8,8,6,3,3,3,6,8,5,2,4,1,1,5,1,2,3,2,2,1,3,0,0,4,3,0,0,0,1,1,0,1,4,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
10402,新竹縣竹北市,北興里,527,1243,616,627,14,12,13,17,21,10,20,18,13,18,13,11,15,13,7,10,6,9,7,5,5,7,2,6,2,1,2,7,6,7,3,2,5,2,7,2,6,3,2,5,4,2,7,5,5,4,7,2,7,2,3,4,6,3,5,9,7,5,7,9,9,15,13,13,13,15,17,30,26,26,21,16,21,26,17,25,24,27,20,17,12,20,18,13,13,13,8,9,7,7,13,8,9,6,7,9,6,7,4,3,3,3,4,6,7,8,5,6,4,7,8,7,6,6,3,6,5,4,8,5,7,3,2,5,7,3,1,2,5,6,1,0,3,2,1,1,0,3,1,4,3,1,3,2,0,2,2,1,3,0,0,2,1,1,3,4,1,3,2,1,2,0,2,4,1,1,1,0,1,0,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10402,新竹縣竹北市,十興里,3568,9662,4676,4986,82,95,97,98,133,148,125,121,125,110,172,135,152,140,164,137,130,131,139,137,121,110,105,109,102,77,89,76,62,63,55,52,45,25,44,33,22,26,31,20,18,21,23,16,14,18,15,22,18,14,17,21,20,25,20,24,21,31,33,37,34,50,46,62,51,81,68,98,78,134,112,163,110,177,127,174,188,242,177,187,165,193,156,165,168,158,140,128,135,114,104,78,74,78,50,54,51,43,58,35,36,47,40,30,17,33,16,20,16,23,15,14,18,18,13,15,10,18,18,18,10,17,14,22,15,16,13,19,12,15,19,9,10,17,4,15,6,13,4,13,12,11,6,10,11,18,6,11,9,10,5,6,5,4,5,0,3,6,3,3,3,6,0,5,2,1,1,1,2,3,1,1,1,2,0,3,5,1,1,3,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
10402,新竹縣竹北市,大眉里,718,2042,1044,998,9,9,7,8,10,12,8,10,6,9,12,7,10,9,11,11,11,11,5,6,5,8,7,4,10,6,19,6,14,8,13,10,9,9,16,22,22,14,15,16,13,22,25,21,15,12,17,13,20,21,15,9,16,9,14,13,16,11,7,13,15,22,27,15,13,15,16,17,16,21,23,15,18,21,18,23,22,16,22,16,24,11,23,18,22,15,14,13,18,19,10,18,13,14,17,21,26,12,18,9,16,22,24,15,15,20,11,13,13,18,11,14,18,14,9,11,16,20,13,11,10,13,15,9,11,12,10,20,8,9,7,9,9,3,6,4,3,2,2,2,5,5,4,5,2,7,4,7,4,3,8,7,3,6,4,2,3,5,3,4,3,8,1,1,2,5,3,5,4,3,4,0,2,2,4,3,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,
10402,新竹縣竹北市,大義里,591,1894,1003,891,9,10,7,10,8,9,7,5,8,6,6,6,8,4,9,7,11,6,8,5,7,9,6,8,4,10,7,12,13,16,12,16,12,11,16,14,15,11,16,12,11,14,15,14,16,8,16,14,17,18,18,20,16,16,10,12,12,19,22,9,18,22,20,10,18,15,23,19,13,14,17,13,13,12,18,4,23,13,9,12,15,10,19,14,12,14,12,16,14,13,20,6,15,14,14,18,17,10,22,14,15,21,15,16,13,15,25,4,14,9,16,14,19,14,13,11,10,6,14,17,13,10,12,8,2,7,11,7,9,11,7,5,14,8,9,7,8,5,8,5,9,6,3,6,7,8,6,10,3,8,4,9,6,7,5,4,9,2,4,4,4,4,3,2,2,5,2,1,2,4,3,7,2,2,1,2,4,0,1,1,0,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,
10402,新竹縣竹北市,尚義里,597,1876,999,877,8,4,10,6,3,12,7,5,4,7,6,11,3,3,10,3,5,8,14,10,8,8,17,10,16,9,15,9,14,12,19,14,12,13,12,21,12,18,16,18,13,16,11,14,16,7,17,11,16,16,10,18,11,12,9,9,10,12,10,8,15,6,12,12,9,11,12,12,22,13,12,14,23,16,10,19,24,12,16,10,20,14,14,17,14,11,18,8,18,12,17,12,22,13,17,10,20,18,26,13,11,9,18,14,24,8,14,12,12,12,19,10,18,12,11,4,15,5,10,10,7,9,5,9,11,3,8,18,9,6,3,11,4,6,11,9,6,8,9,6,2,3,10,8,6,8,8,8,5,13,7,6,6,5,2,7,6,6,2,11,5,4,6,5,5,3,3,7,5,3,3,5,4,4,2,1,4,1,2,2,1,2,1,1,0,1,0,1,2,0,1,1,0,1,0,0,0,1,0,1,1,0,
10402,新竹縣竹北市,崇義里,732,2318,1221,1097,8,15,14,7,17,11,6,10,9,6,9,7,11,4,6,11,12,17,14,7,7,7,12,8,21,12,17,17,16,18,18,17,11,16,18,17,19,17,18,19,23,16,21,19,19,15,18,18,16,22,16,16,20,17,11,16,12,8,14,13,18,18,21,15,17,23,22,16,26,16,15,14,16,20,17,27,28,18,20,15,20,17,17,12,26,13,19,12,23,18,26,14,21,13,21,27,23,13,22,16,18,17,14,18,17,10,17,17,22,8,17,9,14,16,15,8,24,19,17,12,11,13,14,9,16,10,15,14,6,12,13,4,10,6,6,9,5,3,4,9,6,8,9,16,15,6,8,9,5,7,7,7,4,7,4,11,2,6,6,4,6,5,5,8,4,7,1,3,3,4,2,6,1,4,2,4,1,3,2,1,1,0,0,2,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,
10402,新竹縣竹北市,文化里,1527,4450,2143,2307,21,18,31,20,19,25,25,23,24,19,32,29,38,35,48,44,40,36,43,31,41,52,65,52,63,48,38,42,67,48,37,40,28,33,49,43,40,31,38,40,36,25,34,36,32,31,22,31,32,32,24,20,21,24,11,12,11,19,15,14,26,18,20,24,20,35,25,31,23,30,27,30,29,41,22,48,38,62,48,45,32,58,54,61,39,51,45,75,41,50,51,73,39,58,46,46,50,39,39,31,40,26,39,38,24,29,29,29,25,31,15,23,22,26,13,22,17,11,13,12,11,13,14,20,14,14,11,17,16,5,8,5,6,8,5,8,6,7,4,3,6,7,6,7,5,12,6,4,3,9,9,7,5,9,5,3,1,8,9,1,1,2,1,4,2,6,3,3,2,3,1,3,0,2,1,2,1,3,0,2,1,1,3,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,
10402,新竹縣竹北市,斗崙里,5293,14395,6986,7409,117,118,114,107,151,135,155,146,147,116,170,148,168,141,160,138,129,125,124,132,99,121,132,137,116,128,133,104,104,140,125,106,87,94,102,85,93,104,83,82,69,94,81,75,82,64,56,71,72,64,62,58,67,73,64,53,60,58,74,60,97,104,95,130,113,147,121,169,134,169,150,219,156,204,153,208,177,224,142,178,167,179,166,175,139,159,144,142,141,141,147,151,134,147,106,137,110,116,117,116,95,97,84,94,70,84,67,69,63,57,50,48,65,64,55,35,41,45,49,41,36,42,28,38,30,40,33,29,37,33,27,27,22,25,14,18,17,18,10,11,17,12,15,19,14,12,17,18,19,16,13,14,11,14,9,10,9,16,3,14,9,11,6,3,10,8,6,5,4,4,5,5,9,5,2,2,4,1,3,3,0,5,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,
