year,male,female,total
2019,20539,18620,39159
2020,20365,18515,38880
2021,20188,18410,38598
2022,20001,18298,38299
2023,19807,18179,37986
2024,19612,18048,37660
2025,19426,17931,37357
2026,19234,17811,37045
2027,19039,17683,36722
2028,18835,17546,36381
2029,18625,17403,36028
2030,18404,17251,35655
2031,18180,17091,35271
2032,17949,16927,34876
2033,17707,16755,34462
2034,17455,16575,34030
2035,17225,16418,33643
2036,16988,16254,33242
2037,16744,16077,32821
2038,16498,15897,32395
2039,16241,15709,31950
2040,15977,15514,31491
2041,15714,15314,31028
2042,15448,15114,30562
2043,15179,14908,30087
2044,14904,14702,29606
2045,14648,14513,29161
2046,14390,14322,28712
2047,14130,14122,28252
2048,13869,13917,27786
2049,13609,13706,27315
2050,13351,13492,26843
2051,13096,13276,26372
2052,12842,13061,25903
2053,12593,12847,25440
2054,12354,12635,24989
2055,12134,12440,24574
2056,11912,12246,24158
2057,11697,12054,23751
2058,11486,11860,23346
2059,11278,11673,22951
2060,11078,11486,22564
2061,10880,11299,22179
2062,10692,11111,21803
2063,10502,10924,21426
2064,10314,10744,21058
2065,10137,10571,20708
