year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2019,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,61,59,45,65,50,69,59,71,57,53,67,38,45,31,47,32,36,24,29,23,16,15,15,12,9,21,11,10,8,7,9,1,11,7,7,4,8,6,2,2,1,5,1,1,0,0,0,0,1,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,54,38,29,36,41,25,26,22,13,19,14,20,22,14,16,12,19,20,23,16,14,13,7,12,7,4,2,2,3,1,2,1,1,2,1,0,1
2020,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,61,59,45,64,50,68,58,70,56,52,66,38,44,31,46,31,35,23,28,22,16,15,14,12,9,20,10,9,8,7,8,1,10,6,6,4,7,5,2,2,1,4,1,1,0,0,0,0,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,54,38,29,36,41,25,26,22,13,19,14,20,21,14,16,12,18,19,22,15,13,12,6,11,6,4,2,2,3,1,2,1,1,1,1,0
2021,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,61,59,45,63,50,67,57,69,55,51,65,37,43,30,45,30,34,22,27,21,15,14,13,11,9,19,9,8,7,6,7,1,9,5,5,4,6,4,2,2,1,3,1,1,0,0,0,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,54,38,29,36,41,25,26,22,13,19,14,20,20,14,15,12,17,18,21,14,12,11,5,10,5,4,2,2,3,1,2,1,1,1,0
2022,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,61,59,45,62,50,66,56,68,54,50,64,36,42,29,44,29,33,21,26,20,14,13,12,10,9,18,8,7,6,6,6,1,8,4,4,3,5,3,2,2,1,2,1,1,0,0,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,54,38,29,36,40,25,26,22,13,19,14,19,19,14,14,11,16,17,20,13,11,10,5,9,4,3,2,2,2,1,2,1,1,0
2023,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,61,59,45,61,49,65,55,67,53,49,63,35,41,28,43,28,32,20,25,19,13,12,11,9,8,17,7,6,6,5,5,1,7,4,3,3,4,3,2,2,1,2,1,1,0,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,54,38,29,36,39,25,26,22,13,19,14,18,18,13,13,10,15,16,19,12,10,9,4,8,3,3,2,2,2,1,1,1,0
2024,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,60,58,45,60,48,64,54,66,52,48,62,34,40,27,42,27,31,19,24,18,12,11,10,8,8,16,6,6,5,5,4,1,6,3,3,3,3,2,2,2,1,1,1,0,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,53,38,29,35,38,25,25,22,13,18,14,17,17,12,12,9,14,15,18,11,9,8,4,7,3,3,2,2,2,1,1,0
2025,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,59,57,45,59,47,63,53,65,51,47,61,33,39,26,41,26,30,18,23,17,11,10,9,8,7,15,6,6,5,5,4,1,5,3,3,3,2,2,2,2,1,1,0,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,52,38,29,35,37,25,24,21,13,17,14,16,16,11,11,8,13,14,17,10,8,7,3,6,3,2,2,2,2,1,0
2026,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,58,56,45,58,46,62,52,64,50,46,60,32,38,25,40,25,29,17,22,16,10,9,8,7,7,14,6,5,5,4,4,1,4,3,3,2,2,2,2,2,1,0,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,49,51,38,29,34,36,24,23,20,13,16,13,15,15,10,10,7,12,13,15,9,7,6,3,5,2,2,2,2,1,0
2027,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,57,55,45,57,45,61,51,63,49,45,59,31,37,24,39,24,28,16,21,15,9,8,7,7,6,13,5,5,4,4,3,1,3,3,2,2,2,2,2,1,0,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,51,47,48,50,37,29,33,35,23,22,19,13,15,12,14,14,9,9,6,11,12,13,8,6,5,3,4,2,2,2,1,0
2028,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,56,54,45,56,44,60,50,62,48,44,58,30,36,23,38,23,27,15,20,14,8,7,7,6,6,12,5,4,4,3,3,1,3,2,2,2,2,2,1,0,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,53,50,46,47,49,36,28,32,34,22,21,18,13,14,11,13,13,8,8,6,10,11,12,7,5,4,2,3,2,2,1,0
2029,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,55,53,44,55,43,59,49,61,47,43,57,29,35,22,37,22,26,14,19,13,7,7,6,6,5,11,4,4,3,3,3,1,2,2,2,2,2,1,0,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,52,52,49,45,46,48,35,27,31,33,21,20,17,12,13,10,12,12,7,7,5,9,10,10,6,4,3,2,2,2,1,0
2030,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,48,45,54,52,43,54,42,58,48,60,46,42,55,28,34,21,36,21,25,13,18,12,7,6,6,5,5,10,4,3,3,3,3,1,2,2,2,2,1,0,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,51,51,48,44,45,47,34,26,30,32,20,19,16,11,12,9,11,11,6,6,4,8,9,9,5,3,2,2,2,1,0
2031,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,50,47,45,53,51,42,53,41,57,47,59,45,41,53,27,33,20,34,20,24,12,17,11,6,6,5,5,4,9,3,3,3,3,2,1,2,2,2,1,0,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,50,42,50,50,47,43,44,46,33,25,29,31,19,18,15,10,11,8,10,10,5,5,4,7,8,8,4,2,2,2,1,0
2032,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,51,49,46,44,52,50,41,52,40,56,46,58,44,40,51,26,32,19,32,19,23,11,16,10,6,5,5,4,4,8,3,3,3,2,2,1,2,2,1,0,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,51,49,42,49,49,46,42,43,45,32,24,28,30,18,17,14,9,10,7,9,9,4,4,3,6,7,7,3,2,2,1,0
2033,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,57,46,51,45,50,48,45,43,51,49,40,51,39,55,45,56,43,39,49,25,31,18,30,18,22,10,15,9,5,5,4,4,3,7,3,3,2,2,2,1,2,1,0,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,53,50,48,41,48,48,45,41,42,44,31,23,27,29,17,16,13,8,9,6,8,8,4,3,3,5,6,6,2,2,1,0
2034,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,56,46,51,45,49,47,44,42,50,48,39,50,38,54,44,54,42,38,47,24,30,17,28,17,20,9,14,8,5,4,4,3,3,6,3,2,2,2,2,1,1,0,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,52,49,47,40,47,47,44,40,41,43,30,22,26,28,16,15,12,7,8,5,7,7,3,3,3,4,5,5,2,1,0
2035,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,56,46,51,45,48,46,43,41,49,47,38,49,37,53,43,52,41,37,45,23,29,16,26,16,19,8,13,7,4,4,4,3,3,5,3,2,2,2,2,1,0,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,52,48,46,39,46,46,43,39,40,42,29,21,25,27,15,14,11,6,7,5,6,6,3,3,3,3,4,4,2,0
2036,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,56,46,51,45,47,45,42,40,48,46,37,48,36,52,42,50,39,36,43,22,27,15,24,15,18,7,12,6,4,4,3,3,3,4,2,2,2,2,1,0,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,49,51,47,45,38,45,45,42,38,39,41,28,20,24,26,14,13,10,6,6,4,5,5,3,3,2,2,3,3,0
2037,12,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,55,46,50,44,46,44,41,39,47,45,36,47,35,50,41,48,37,34,41,21,25,14,22,14,16,6,11,5,4,3,3,3,3,3,2,2,2,1,0,11,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,48,50,46,44,37,44,44,41,37,38,40,27,19,23,24,13,12,9,5,5,4,4,4,3,2,2,2,2,0
2038,11,12,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,53,54,46,49,43,45,43,40,38,46,44,35,46,34,48,39,46,35,32,39,20,23,13,20,13,15,5,10,4,3,3,3,3,2,2,2,2,1,0,11,11,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,47,49,45,43,36,43,43,40,36,37,38,26,18,22,22,12,11,8,4,4,3,3,3,2,2,2,2,0
2039,11,11,12,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,52,53,45,48,42,44,42,39,37,45,43,34,45,33,46,37,44,33,30,37,19,21,12,18,12,13,4,9,3,3,3,3,2,2,2,2,1,0,11,11,11,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,38,46,48,44,42,35,42,42,39,35,35,36,25,17,21,20,11,10,7,4,3,3,3,2,2,2,2,0
2040,10,11,11,12,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,55,50,49,51,52,44,47,41,43,41,38,36,44,42,33,44,32,44,35,42,31,28,35,18,19,11,16,11,12,4,8,3,3,3,2,2,2,2,1,0,9,11,11,11,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,42,39,37,45,47,43,41,34,41,41,38,34,33,34,24,16,19,18,10,9,6,3,3,3,2,2,2,2,0
2041,9,10,11,11,12,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,54,50,48,50,51,43,46,40,42,40,37,35,43,41,32,42,31,42,33,40,29,26,33,17,17,10,14,10,11,3,7,3,3,2,2,2,2,1,0,9,9,11,11,11,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,42,41,38,36,44,46,42,40,33,40,40,36,32,31,32,22,15,17,16,9,8,5,3,3,2,2,2,2,0
2042,9,9,10,11,11,12,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,55,54,53,49,47,49,50,42,45,39,41,39,36,34,42,40,31,40,30,40,31,38,27,24,30,16,15,9,12,9,10,3,6,3,2,2,2,2,1,0,9,9,9,11,11,11,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,48,42,41,40,37,35,43,45,41,39,32,39,38,34,30,29,30,20,14,15,14,8,7,4,3,2,2,2,2,0
2043,9,9,9,10,11,11,12,12,14,14,17,17,17,18,18,18,18,20,20,20,20,20,21,21,24,30,25,18,11,22,17,14,27,24,16,27,21,29,31,22,26,42,28,22,33,41,32,38,42,38,46,35,54,36,40,37,41,35,53,43,47,55,54,53,52,48,46,48,49,41,44,38,40,38,35,33,41,39,30,38,29,38,29,36,25,22,27,15,13,8,11,8,9,3,5,2,2,2,2,1,0,9,9,9,9,11,11,11,12,13,14,15,16,15,16,17,17,17,19,19,19,18,19,19,19,16,20,18,14,21,13,17,24,16,16,22,17,16,26,29,28,21,23,29,39,29,40,27,43,31,35,33,30,47,37,28,37,34,38,39,37,40,41,44,30,54,49,50,43,42,31,44,35,47,41,40,39,36,34,42,44,40,38,31,37,36,32,28,27,28,18,13,13,12,7,6,3,2,2,2,2,0
