year,male,female,total
2019,5555,5071,10626
2020,5522,5053,10575
2021,5488,5039,10527
2022,5452,5023,10475
2023,5416,5002,10418
2024,5380,4981,10361
2025,5351,4967,10318
2026,5319,4949,10268
2027,5287,4927,10214
2028,5256,4902,10158
2029,5225,4878,10103
2030,5190,4852,10042
2031,5152,4824,9976
2032,5109,4794,9903
2033,5061,4765,9826
2034,5008,4737,9745
2035,4965,4711,9676
2036,4915,4684,9599
2037,4865,4653,9518
2038,4811,4618,9429
2039,4751,4581,9332
2040,4690,4543,9233
2041,4629,4503,9132
2042,4562,4464,9026
2043,4494,4423,8917
2044,4428,4377,8805
2045,4364,4337,8701
2046,4299,4293,8592
2047,4232,4250,8482
2048,4167,4204,8371
2049,4099,4158,8257
2050,4033,4109,8142
2051,3967,4061,8028
2052,3903,4012,7915
2053,3835,3964,7799
2054,3767,3913,7680
2055,3706,3866,7572
2056,3646,3815,7461
2057,3587,3767,7354
2058,3529,3716,7245
2059,3474,3667,7141
2060,3417,3616,7033
2061,3364,3564,6928
2062,3313,3512,6825
2063,3261,3458,6719
2064,3209,3403,6612
2065,3161,3354,6515
