year,male,female,total
2019,3858,3035,6893
2020,3819,3015,6834
2021,3781,2999,6780
2022,3745,2978,6723
2023,3707,2953,6660
2024,3672,2927,6599
2025,3639,2906,6545
2026,3604,2884,6488
2027,3567,2860,6427
2028,3526,2835,6361
2029,3488,2809,6297
2030,3446,2782,6228
2031,3401,2753,6154
2032,3356,2725,6081
2033,3309,2698,6007
2034,3265,2671,5936
2035,3226,2652,5878
2036,3185,2630,5815
2037,3144,2610,5754
2038,3102,2587,5689
2039,3058,2562,5620
2040,3013,2536,5549
2041,2963,2510,5473
2042,2916,2482,5398
2043,2867,2454,5321
2044,2817,2425,5242
2045,2769,2404,5173
2046,2718,2378,5096
2047,2662,2350,5012
2048,2607,2320,4927
2049,2553,2288,4841
2050,2501,2257,4758
2051,2451,2224,4675
2052,2402,2192,4594
2053,2354,2161,4515
2054,2306,2127,4433
2055,2263,2096,4359
2056,2218,2065,4283
2057,2175,2036,4211
2058,2131,2007,4138
2059,2088,1977,4065
2060,2043,1947,3990
2061,1997,1916,3913
2062,1950,1881,3831
2063,1905,1847,3752
2064,1861,1814,3675
2065,1821,1785,3606
