area,2018,2019,2020,2021,diff
桃園市,2196349,2228118,2254363,2270689,74340
新北市,3986382,3998883,4023620,4028474,42092
臺中市,2792164,2808219,2816667,2821322,29158
新竹縣,552877,558020,565272,571774,18897
新竹市,442315,446567,449425,451868,9553
金門縣,137642,139387,139951,140406,2764
澎湖縣,104086,104574,105117,105867,1781
連江縣,12923,13053,13034,13336,413
宜蘭縣,456068,454770,453951,452497,-3571
嘉義市,269307,268502,267472,265560,-3747
基隆市,371119,369848,368792,367178,-3941
臺東縣,219466,218256,216308,214745,-4721
花蓮縣,328695,327513,325706,323666,-5029
南投縣,500103,496167,493403,489509,-10594
苗栗縣,552161,547692,544762,541460,-10701
嘉義縣,510018,505785,502007,498031,-11987
臺南市,1885882,1883356,1879115,1871961,-13921
雲林縣,689098,684241,680050,675074,-14024
高雄市,2775935,2773271,2773984,2761462,-14473
彰化縣,1280528,1276289,1271015,1263635,-16893
屏東縣,828654,823256,817193,810449,-18205
臺北市,2680218,2663425,2635286,2586660,-93558
sum,23571990,23589192,23596493,23525623,-46367
