area,2018,2019,2020,2021,diff
新竹縣竹北市,182975,188818,195954,202100,19125
桃園市中壢區,406949,413547,418399,422726,15777
桃園市桃園區,442488,448940,454117,458166,15678
新北市林口區,106834,111589,116982,122169,15335
新北市淡水區,170312,174652,179924,183959,13647
臺中市北屯區,275914,280587,284427,288705,12791
桃園市八德區,199181,203236,207035,209212,10031
臺中市南屯區,169222,171257,174322,176668,7446
桃園市楊梅區,168381,171061,173652,175715,7334
新竹市東區,213589,216430,218355,220635,7046
桃園市龜山區,158357,161052,163271,164933,6576
新北市汐止區,199511,201151,204159,205807,6296
新北市新莊區,417154,418219,421154,423050,5896
高雄市仁武區,86277,88222,90101,92060,5783
高雄市楠梓區,184183,186336,188543,189698,5515
臺中市太平區,189801,192401,194202,195179,5378
新北市板橋區,551503,555001,557328,556590,5087
新北市五股區,85217,86579,88401,89642,4425
桃園市大園區,89505,91415,93113,93829,4324
臺中市西屯區,227569,229243,230743,231773,4204
桃園市蘆竹區,162637,164639,166684,166828,4191
桃園市平鎮區,224733,226994,228638,228580,3847
臺南市安南區,192401,193782,194428,195928,3527
桃園市觀音區,66563,67509,68139,69173,2610
臺南市善化區,48536,49272,50139,50904,2368
雲林縣麥寮鄉,45620,46153,47255,47900,2280
臺中市沙鹿區,93041,94317,94958,95297,2256
金門縣金寧鄉,30924,31910,32497,33146,2222
桃園市龍潭區,122196,123408,124106,124402,2206
彰化縣大村鄉,36841,36963,37086,38901,2060
臺中市烏日區,74756,75612,75689,76772,2016
新竹市北區,150713,151828,152431,152553,1840
高雄市鼓山區,139582,140297,141199,141386,1804
臺中市清水區,86506,87045,87634,88148,1642
新竹縣湖口鄉,77517,77626,77980,79150,1633
苗栗縣頭份市,102988,103109,103817,104617,1629
新北市三峽區,115185,116058,116662,116770,1585
臺中市南區,125218,126088,126642,126744,1526
高雄市橋頭區,37583,37629,38456,39054,1471
苗栗縣竹南鎮,85757,86261,86692,87216,1459
新北市蘆洲區,201180,201388,202241,202544,1364
臺中市梧棲區,58082,58501,58956,59371,1289
臺南市永康區,234127,234893,235812,235395,1268
新北市八里區,38456,38873,39521,39711,1255
新北市鶯歌區,86457,86454,87247,87669,1212
臺中市大里區,211781,212382,212777,212952,1171
新北市新店區,301892,302085,303785,303015,1123
基隆市信義區,52068,52589,52790,53127,1059
臺南市新市區,36668,37072,37298,37687,1019
臺中市潭子區,108280,109109,109332,109211,931
金門縣金湖鎮,29486,29950,30206,30378,892
桃園市大溪區,94620,94966,95675,95500,880
澎湖縣馬公市,62323,62653,62854,63182,859
新竹縣新豐鄉,56802,57135,57373,57564,762
彰化縣伸港鄉,36959,37169,37506,37721,762
澎湖縣湖西鄉,14502,14673,15027,15240,738
臺南市仁德區,75490,75896,76130,76201,711
宜蘭縣五結鄉,39588,39553,40018,40269,681
嘉義縣太保市,37951,38132,38318,38619,668
新竹市香山區,78013,78309,78639,78680,667
桃園市復興區,11701,12103,12283,12352,651
臺南市中西區,77812,78213,78395,78404,592
臺南市安平區,66615,66852,67082,67206,591
新北市土城區,237728,236946,237829,238300,572
高雄市鳥松區,44349,44713,45001,44847,498
連江縣北竿鄉,2386,2472,2589,2752,366
花蓮縣秀林鄉,15871,15921,15926,16165,294
臺中市龍井區,77883,77873,78135,78148,265
桃園市新屋區,49038,49248,49251,49273,235
臺中市大雅區,95507,95951,95747,95721,214
澎湖縣望安鄉,5198,5280,5261,5381,183
金門縣金沙鎮,20522,20773,20744,20695,173
