year,male,female,total
2019,55734,58979,114713
2020,55806,59143,114949
2021,55858,59297,115155
2022,55882,59427,115309
2023,55881,59534,115415
2024,55863,59622,115485
2025,55850,59719,115569
2026,55823,59802,115625
2027,55783,59863,115646
2028,55715,59903,115618
2029,55631,59925,115556
2030,55525,59927,115452
2031,55401,59905,115306
2032,55255,59863,115118
2033,55088,59795,114883
2034,54904,59705,114609
2035,54743,59644,114387
2036,54563,59562,114125
2037,54369,59459,113828
2038,54158,59334,113492
2039,53926,59182,113108
2040,53673,59000,112673
2041,53405,58795,112200
2042,53114,58565,111679
2043,52808,58306,111114
2044,52479,58022,110501
2045,52180,57766,109946
2046,51854,57476,109330
2047,51497,57143,108640
2048,51111,56771,107882
2049,50700,56360,107060
2050,50267,55912,106179
2051,49802,55423,105225
2052,49309,54908,104217
2053,48796,54357,103153
2054,48263,53782,102045
2055,47753,53241,100994
2056,47229,52672,99901
2057,46691,52076,98767
2058,46137,51456,97593
2059,45569,50818,96387
2060,44992,50167,95159
2061,44411,49498,93909
2062,43826,48814,92640
2063,43239,48113,91352
2064,42650,47410,90060
2065,42089,46747,88836
