year,male,female,total
2019,16605,14865,31470
2020,16513,14803,31316
2021,16414,14740,31154
2022,16314,14676,30990
2023,16210,14611,30821
2024,16104,14538,30642
2025,16012,14476,30488
2026,15916,14412,30328
2027,15818,14343,30161
2028,15713,14278,29991
2029,15602,14207,29809
2030,15486,14133,29619
2031,15368,14055,29423
2032,15242,13977,29219
2033,15110,13892,29002
2034,14972,13803,28775
2035,14849,13731,28580
2036,14712,13651,28363
2037,14572,13569,28141
2038,14423,13481,27904
2039,14266,13386,27652
2040,14101,13287,27388
2041,13930,13183,27113
2042,13754,13071,26825
2043,13576,12954,26530
2044,13388,12835,26223
2045,13208,12725,25933
2046,13030,12610,25640
2047,12846,12488,25334
2048,12660,12362,25022
2049,12472,12234,24706
2050,12279,12106,24385
2051,12083,11965,24048
2052,11890,11821,23711
2053,11700,11680,23380
2054,11513,11540,23053
2055,11340,11409,22749
2056,11166,11279,22445
2057,10997,11145,22142
2058,10830,11010,21840
2059,10664,10876,21540
2060,10496,10741,21237
2061,10335,10603,20938
2062,10177,10462,20639
2063,10021,10324,20345
2064,9869,10186,20055
2065,9720,10054,19774
