year,male,female,total
2019,43894,44156,88050
2020,43775,44142,87917
2021,43645,44117,87762
2022,43508,44082,87590
2023,43359,44028,87387
2024,43193,43953,87146
2025,43044,43898,86942
2026,42887,43828,86715
2027,42724,43750,86474
2028,42544,43658,86202
2029,42346,43539,85885
2030,42135,43399,85534
2031,41902,43240,85142
2032,41656,43063,84719
2033,41392,42869,84261
2034,41116,42647,83763
2035,40865,42460,83325
2036,40595,42253,82848
2037,40302,42021,82323
2038,39996,41769,81765
2039,39674,41496,81170
2040,39342,41204,80546
2041,38989,40890,79879
2042,38621,40560,79181
2043,38237,40209,78446
2044,37846,39847,77693
2045,37482,39516,76998
2046,37104,39168,76272
2047,36716,38796,75512
2048,36316,38408,74724
2049,35905,37999,73904
2050,35484,37579,73063
2051,35060,37142,72202
2052,34628,36700,71328
2053,34190,36257,70447
2054,33752,35798,69550
2055,33342,35372,68714
2056,32930,34938,67868
2057,32516,34498,67014
2058,32098,34055,66153
2059,31676,33609,65285
2060,31247,33161,64408
2061,30815,32709,63524
2062,30380,32255,62635
2063,29949,31793,61742
2064,29513,31338,60851
2065,29099,30912,60011
