year,age_range,male,female,total
2019,0-4,1538,1503,3041
2019,5-9,1972,1872,3844
2019,10-14,2063,1889,3952
2019,15-19,2583,2294,4877
2019,20-24,3114,2831,5945
2019,25-29,3275,2829,6104
2019,30-34,3110,2795,5905
2019,35-39,3555,3482,7037
2019,40-44,3151,3223,6374
2019,45-49,3127,3128,6255
2019,50-54,3224,3235,6459
2019,55-59,3192,3511,6703
2019,60-64,3066,3343,6409
2019,65-69,2446,2726,5172
2019,70-74,1519,1785,3304
2019,75-79,1234,1545,2779
2019,80-84,924,1134,2058
2019,85-89,522,685,1207
2019,90-94,224,284,508
2019,95-99,50,57,107
2019,100+,5,5,10
2020,0-4,1480,1442,2922
2020,5-9,1996,1944,3940
2020,10-14,1991,1798,3789
2020,15-19,2449,2141,4590
2020,20-24,2983,2755,5738
2020,25-29,3318,2823,6141
2020,30-34,3072,2839,5911
2020,35-39,3533,3352,6885
2020,40-44,3303,3333,6636
2020,45-49,2978,3035,6013
2020,50-54,3243,3221,6464
2020,55-59,3131,3480,6611
2020,60-64,3083,3384,6467
2020,65-69,2607,2870,5477
2020,70-74,1628,1926,3554
2020,75-79,1199,1528,2727
2020,80-84,951,1173,2124
2020,85-89,518,711,1229
2020,90-94,248,316,564
2020,95-99,51,59,110
2020,100+,0,0,0
2021,0-4,1455,1400,2855
2021,5-9,1969,1901,3870
2021,10-14,1911,1802,3713
2021,15-19,2320,2014,4334
2021,20-24,2891,2648,5539
2021,25-29,3358,2881,6239
2021,30-34,3075,2869,5944
2021,35-39,3459,3170,6629
2021,40-44,3366,3351,6717
2021,45-49,2888,3062,5950
2021,50-54,3254,3201,6455
2021,55-59,3113,3437,6550
2021,60-64,3081,3401,6482
2021,65-69,2716,2918,5634
2021,70-74,1782,2206,3988
2021,75-79,1182,1461,2643
2021,80-84,965,1249,2214
2021,85-89,507,720,1227
2021,90-94,264,317,581
2021,95-99,59,82,141
2021,100+,0,0,0
2022,0-4,1437,1372,2809
2022,5-9,1852,1773,3625
2022,10-14,1930,1864,3794
