year,male,female,total
2019,252952,241570,494522
2020,252096,241282,493378
2021,251190,240977,492167
2022,250223,240615,490838
2023,249202,240180,489382
2024,248124,239699,487823
2025,247144,239313,486457
2026,246104,238859,484963
2027,244985,238336,483321
2028,243780,237725,481505
2029,242474,237013,479487
2030,241062,236196,477258
2031,239541,235288,474829
2032,237901,234270,472171
2033,236152,233137,469289
2034,234277,231898,466175
2035,232563,230834,463397
2036,230708,229627,460335
2037,228724,228290,457014
2038,226624,226836,453460
2039,224401,225249,449650
2040,222070,223532,445602
2041,219638,221697,441335
2042,217111,219763,436874
2043,214510,217733,432243
2044,211836,215598,427434
2045,209332,213643,422975
2046,206758,211575,418333
2047,204118,209397,413515
2048,201427,207107,408534
2049,198691,204730,403421
2050,195937,202298,398235
2051,193165,199787,392952
2052,190381,197238,387619
2053,187613,194672,382285
2054,184847,192079,376926
2055,182278,189675,371953
2056,179712,187248,366960
2057,177154,184815,361969
2058,174594,182348,356942
2059,172034,179845,351879
2060,169482,177334,346816
2061,166942,174823,341765
2062,164400,172295,336695
2063,161856,169770,331626
2064,159324,167269,326593
2065,156912,164916,321828
