year,male,female,total
2019,11310,10677,21987
2020,11288,10691,21979
2021,11262,10703,21965
2022,11232,10711,21943
2023,11202,10713,21915
2024,11168,10711,21879
2025,11138,10711,21849
2026,11103,10707,21810
2027,11063,10701,21764
2028,11020,10688,21708
2029,10971,10671,21642
2030,10913,10645,21558
2031,10850,10614,21464
2032,10781,10577,21358
2033,10706,10536,21242
2034,10620,10487,21107
2035,10545,10444,20989
2036,10459,10395,20854
2037,10369,10340,20709
2038,10276,10281,20557
2039,10169,10216,20385
2040,10055,10140,20195
2041,9940,10058,19998
2042,9821,9971,19792
2043,9700,9887,19587
2044,9577,9795,19372
2045,9463,9712,19175
2046,9343,9624,18967
2047,9225,9532,18757
2048,9107,9436,18543
2049,8990,9338,18328
2050,8866,9238,18104
2051,8745,9134,17879
2052,8626,9028,17654
2053,8508,8917,17425
2054,8388,8800,17188
2055,8278,8697,16975
2056,8166,8589,16755
2057,8049,8481,16530
2058,7932,8369,16301
2059,7814,8254,16068
2060,7698,8141,15839
2061,7580,8027,15607
2062,7465,7913,15378
2063,7346,7797,15143
2064,7227,7682,14909
2065,7116,7572,14688
