year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2019,13668,15157,16030,16872,17352,17585,18170,19955,16976,14929,16730,16992,17018,17468,17261,18929,19780,20843,23022,25774,23843,23895,27774,27756,27913,28234,29096,28727,28719,29807,28149,28783,26531,26463,29376,31116,32282,34231,35409,34649,35785,34685,33832,35069,30448,30697,30306,29564,30623,30919,30445,30032,29161,29506,30436,30426,31099,30365,29595,29350,29222,27666,26170,27728,27005,24593,23925,23264,22544,18249,17218,13963,12136,9134,8311,9398,8655,7814,7493,6723,5541,4881,4416,3766,3546,2948,2911,2826,2539,2472,2083,1718,1362,1153,854,593,486,400,269,166,361,12984,14200,15026,15748,16088,16591,16795,18779,15916,13621,15492,15442,15646,15901,16195,17020,17867,19161,21220,23556,22211,22309,25617,26055,26163,26218,26734,26516,26164,27691,26362,27491,26049,26344,29422,31368,33151,35610,36704,35988,37328,36332,35785,36478,32451,32429,31941,31797,32561,33548,33407,33261,32651,33933,34734,34510,36019,34781,33885,33779,34243,32551,30799,32270,31449,28909,28017,27339,25890,21203,19947,16224,14145,10743,9766,11135,10514,10035,9571,9046,8042,7074,6460,5669,5196,4357,3754,3447,2993,2548,2113,1890,1560,1250,887,703,501,381,283,198,324
2020,15201,13664,15154,16027,16870,17350,17583,18168,19953,16974,14928,16728,16990,17015,17464,17256,18923,19772,20834,23011,25761,23831,23882,27758,27740,27896,28216,29077,28707,28697,29781,28122,28753,26500,26429,29334,31067,32225,34164,35331,34564,35688,34582,33722,34943,30330,30569,30169,29422,30464,30749,30266,29847,28970,29300,30211,30186,30837,30094,29315,29055,28917,27355,25857,27369,26627,24220,23530,22845,22098,17852,16806,13597,11785,8843,8020,9034,8284,7449,7112,6347,5201,4556,4096,3471,3239,2669,2612,2511,2231,2148,1789,1458,1138,946,686,466,372,298,194,0,14128,12980,14198,15024,15746,16086,16589,16793,18777,15915,13620,15491,15441,15644,15899,16193,17017,17864,19158,21216,23551,22206,22304,25611,26048,26156,26211,26726,26508,26155,27680,26351,27478,26036,26329,29404,31348,33128,35584,36675,35957,37293,36295,35745,36434,32409,32383,31891,31743,32500,33481,33335,33184,32570,33843,34634,34404,35900,34659,33756,33642,34091,32394,30637,32085,31249,28703,27795,27100,25633,20968,19699,15996,13925,10554,9573,10889,10254,9759,9277,8729,7726,6765,6142,5358,4876,4058,3463,3149,2705,2274,1860,1637,1327,1042,722,557,385,283,202,0
2021,14679,15196,13661,15151,16025,16868,17348,17581,18166,19951,16972,14927,16726,16987,17011,17459,17250,18916,19763,20824,22999,25748,23818,23868,27742,27723,27878,28198,29057,28685,28672,29753,28092,28719,26466,26391,29288,31012,32162,34089,35245,34470,35582,34469,33601,34808,30204,30431,30024,29269,30297,30569,30079,29652,28767,29083,29973,29932,30561,29809,29020,28751,28592,27028,25522,26986,26223,23820,23106,22393,21617,17425,16365,13204,11410,8533,7709,8647,7897,7070,6714,5958,4854,4226,3775,3171,2932,2395,2321,2206,1938,1845,1519,1218,933,760,539,357,277,215,0,13643,14124,12978,14196,15022,15744,16084,16587,16791,18775,15914,13619,15490,15439,15642,15897,16190,17014,17861,19154,21212,23546,22201,22299,25605,26041,26149,26203,26717,26498,26145,27668,26338,27464,26021,26313,29385,31326,33103,35556,36643,35924,37255,36255,35702,36387,32363,32332,31837,31684,32435,33409,33258,33101,32483,33745,34528,34290,35774,34527,33619,33493,33927,32224,30462,31881,31026,28476,27552,26831,25348,20707,19422,15747,13680,10345,9361,10619,9972,9459,8952,8386,7388,6431,5805,5028,4541,3744,3164,2846,2414,2001,1611,1393,1106,849,573,428,286,202,0
2022,14175,14674,15193,13658,15149,16023,16866,17346,17579,18164,19949,16970,14925,16723,16983,17006,17453,17243,18908,19754,20814,22987,25734,23804,23854,27725,27706,27860,28178,29035,28660,28645,29722,28059,28682,26428,26349,29236,30952,32092,34006,35149,34368,35466,34346,33471,34663,30067,30284,29868,29108,30119,30380,29882,29445,28554,28854,29720,29664,30272,29509,28717,28428,28250,26678,25165,26576,25790,23391,22649,21906,21100,16968,15892,12784,11010,8203,7379,8243,7495,6675,6302,5561,4503,3895,3448,2871,2631,2128,2039,1917,1665,1566,1269,999,750,597,413,266,200,0,13186,13639,14122,12976,14194,15020,15742,16082,16586,16790,18773,15913,13618,15488,15437,15640,15894,16187,17011,17857,19150,21207,23541,22196,22293,25598,26034,26141,26195,26707,26487,26134,27655,26325,27449,26005,26296,29365,31303,33077,35525,36609,35888,37214,36211,35656,36336,32313,32277,31778,31621,32365,33331,33175,33013,32389,33641,34414,34169,35638,34386,33470,33332,33749,32040,30268,31654,30780,28227,27279,26533,25032,20416,19120,15470,13409,10116,9129,10327,9665,9127,8600,8019,7024,6078,5447,4683,4190,3421,2859,2540,2125,1733,1371,1161,901,673,441,318,204,0
2023,13650,14170,14671,15190,13656,15147,16021,16864,17344,17577,18162,19947,16968,14923,16719,16978,17000,17446,17235,18899,19744,20803,22975,25719,23790,23839,27708,27688,27840,28156,29010,28633,28615,29687,28023,28641,26386,26303,29179,30884,32014,33914,35045,34256,35339,34213,33331,34506,29922,30127,29704,28937,29933,30181,29673,29227,28329,28611,29454,29383,29967,29201,28394,28088,27884,26305,24783,26137,25325,22929,22156,21382,20546,16477,15386,12336,10584,7852,7034,7824,7076,6266,5882,5158,4150,3558,3122,2576,2338,1870,1772,1647,1413,1308,1041,803,589,457,308,192,0,12697,13182,13637,14120,12974,14192,15018,15740,16081,16585,16789,18771,15912,13617,15486,15435,15637,15891,16184,17008,17853,19146,21202,23535,22190,22287,25591,26026,26133,26186,26696,26476,26121,27641,26310,27432,25988,26278,29343,31278,33048,35492,36572,35848,37169,36164,35606,36279,32258,32217,31714,31553,32290,33248,33087,32918,32290,33530,34293,34039,35493,34233,33309,33157,33556,31836,30052,31403,30510,27947,26976,26203,24680,20098,18783,15164,13112,9866,8878,10009,9326,8768,8224,7624,6639,5703,5073,4321,3828,3092,2552,2236,1841,1475,1143,946,714,518,327,227,0
2024,13184,13646,14167,14668,15188,13654,15145,16019,16862,17342,17575,18160,19944,16965,14920,16714,16972,16993,17438,17227,18890,19734,20792,22962,25704,23775,23824,27690,27669,27819,28132,28982,28603,28581,29648,27983,28596,26340,26252,29115,30809,31927,33813,34931,34133,35202,34070,33180,34340,29766,29962,29530,28758,29737,29970,29454,28996,28090,28355,29175,29087,29654,28872,28054,27725,27494,25906,24374,25666,24824,22430,21626,20821,19952,15952,14846,11858,10131,7485,6676,7387,6642,5848,5456,4754,3791,3221,2801,2289,2054,1625,1522,1398,1180,1073,837,631,451,340,222,0,12265,12693,13180,13635,14118,12973,14191,15016,15739,16080,16584,16788,18769,15910,13616,15484,15433,15634,15888,16181,17004,17849,19142,21197,23529,22184,22281,25583,26018,26124,26176,26685,26463,26108,27626,26294,27414,25970,26259,29320,31251,33017,35456,36531,35805,37121,36113,35550,36217,32198,32153,31645,31480,32210,33160,32991,32817,32183,33412,34163,33900,35335,34068,33134,32967,33343,31609,29814,31128,30207,27637,26640,25835,24296,19744,18411,14828,12787,9595,8605,9658,8959,8384,7819,7206,6230,5311,4680,3948,3459,2760,2246,1937,1566,1230,931,750,549,385,233,0
2025,12772,13181,13644,14165,14666,15186,13653,15144,16018,16861,17341,17574,18158,19941,16962,14917,16709,16967,16987,17431,17220,18881,19725,20782,22951,25691,23762,23811,27674,27651,27798,28109,28955,28573,28548,29609,27942,28550,26292,26198,29048,30730,31837,33708,34811,34005,35059,33920,33025,34167,29608,29792,29355,28578,29539,29759,29234,28765,27855,28105,28902,28805,29345,28553,27718,27366,27108,25510,23967,25195,24321,21929,21094,20256,19354,15425,14303,11378,9683,7124,6322,6957,6221,5445,5048,4361,3448,2904,2501,2021,1794,1403,1298,1175,975,869,663,488,339,248,0,11880,12262,12691,13178,13634,14117,12972,14190,15015,15738,16079,16583,16787,18767,15908,13614,15482,15431,15631,15885,16178,17001,17845,19138,21192,23523,22178,22275,25575,26009,26114,26166,26673,26450,26094,27610,26278,27396,25952,26239,29296,31224,32986,35419,36490,35761,37071,36060,35493,36154,32137,32088,31576,31407,32130,33071,32898,32718,32080,33296,34037,33763,35181,33907,32963,32778,33129,31384,29579,30850,29905,27326,26301,25470,23907,19388,18038,14491,12463,9323,8326,9306,8595,7999,7419,6790,5828,4928,4303,3593,3111,2450,1964,1666,1321,1015,749,587,415,280,0
2026,12420,12769,13179,13642,14163,14665,15184,13652,15143,16017,16860,17340,17572,18155,19937,16958,14913,16704,16961,16980,17424,17212,18872,19715,20772,22939,25677,23749,23797,27656,27631,27775,28083,28925,28540,28511,29566,27897,28498,26238,26138,28974,30643,31738,33592,34681,33867,34905,33761,32858,33985,29440,29615,29171,28387,29331,29536,29002,28524,27609,27842,28622,28505,29020,28212,27359,26982,26694,25084,23527,24685,23777,21390,20521,19649,18714,14861,13724,10875,9216,6746,5954,6516,5792,5038,4631,3966,3108,2593,2209,1765,1549,1197,1091,971,790,688,512,367,247,0,11565,11877,12260,12689,13177,13633,14116,12971,14189,15014,15737,16078,16582,16785,18765,15906,13612,15480,15429,15628,15882,16175,16998,17841,19134,21187,23517,22172,22268,25567,25999,26104,26154,26660,26436,26079,27593,26261,27377,25933,26218,29271,31194,32951,35379,36445,35713,37017,36002,35431,36086,32072,32018,31503,31329,32044,32977,32798,32613,31969,33173,33900,33616,35014,33732,32774,32568,32893,31136,29315,30541,29569,26979,25930,25062,23475,18995,17628,14124,12109,9021,8022,8928,8200,7589,6991,6352,5408,4531,3916,3232,2762,2143,1689,1405,1090,817,586,444,302,0
2027,12067,12417,12767,13177,13640,14162,14664,15183,13651,15142,16016,16859,17338,17570,18152,19932,16953,14908,16698,16954,16973,17416,17204,18863,19705,20761,22927,25663,23735,23782,27636,27608,27749,28054,28891,28503,28470,29518,27846,28440,26178,26071,28892,30547,31629,33466,34541,33718,34742,33591,32683,33793,29265,29429,28976,28187,29112,29301,28759,28272,27351,27572,28324,28190,28673,27847,26975,26570,26248,24623,23050,24133,23192,20809,19906,19000,18030,14259,13117,10350,8727,6353,5577,6067,5359,4622,4212,3575,2775,2290,1929,1524,1321,1006,901,786,626,532,385,267,0,11235,11562,11875,12259,12688,13176,13632,14115,12970,14188,15013,15736,16077,16581,16783,18763,15904,13610,15478,15426,15625,15879,16172,16994,17837,19129,21182,23510,22165,22261,25558,25989,26093,26141,26646,26421,26063,27575,26243,27356,25912,26195,29243,31161,32914,35336,36396,35661,36958,35939,35364,36013,32002,31944,31425,31245,31953,32877,32693,32500,31851,33039,33752,33457,34834,33539,32564,32336,32633,30858,29022,30198,29193,26598,25515,24610,22999,18563,17182,13723,11716,8692,7696,8518,7780,7151,6540,5894,4972,4123,3523,2869,2416,1843,1425,1160,877,639,443,323,0
2028,11631,12064,12415,12765,13176,13639,14161,14663,15182,13650,15141,16015,16857,17336,17567,18148,19926,16948,14902,16691,16947,16965,17408,17196,18854,19695,20750,22915,25648,23720,23764,27613,27582,27720,28021,28853,28462,28424,29464,27789,28375,26111,25997,28802,30442,31511,33330,34389,33560,34567,33412,32498,33593,29082,29233,28772,27976,28881,29055,28505,28008,27086,27285,28011,27853,28302,27456,26563,26126,25766,24124,22535,23540,22562,20186,19248,18306,17300,13628,12484,9801,8219,5950,5193,5614,4916,4204,3797,3192,2451,2000,1665,1300,1111,831,730,623,484,400,280,0,10839,11232,11560,11874,12258,12687,13175,13631,14114,12969,14187,15012,15735,16076,16579,16781,18761,15902,13608,15475,15423,15622,15876,16169,16990,17833,19124,21176,23503,22158,22253,25548,25978,26080,26127,26631,26405,26046,27556,26223,27334,25889,26170,29212,31126,32874,35289,36342,35604,36893,35871,35292,35935,31928,31865,31341,31157,31856,32771,32580,32380,31723,32895,33592,33285,34634,33324,32332,32081,32342,30549,28696,29814,28781,26172,25054,24111,22476,18093,16694,13278,11289,8339,7343,8082,7331,6690,6069,5419,4525,3709,3128,2509,2078,1555,1176,934,686,483,323,0
