year,male,female,total
2019,136728,146987,283715
2020,136329,146856,283185
2021,135904,146712,282616
2022,135418,146501,281919
2023,134885,146218,281103
2024,134291,145867,280158
2025,133724,145548,279272
2026,133100,145161,278261
2027,132424,144717,277141
2028,131693,144198,275891
2029,130891,143605,274496
2030,130030,142948,272978
2031,129115,142213,271328
2032,128143,141414,269557
2033,127114,140551,267665
2034,126029,139616,265645
2035,125053,138795,263848
2036,124022,137902,261924
2037,122943,136948,259891
2038,121815,135919,257734
2039,120649,134825,255474
2040,119444,133675,253119
2041,118217,132469,250686
2042,116968,131209,248177
2043,115699,129896,245595
2044,114410,128541,242951
2045,113230,127317,240547
2046,112029,126033,238062
2047,110798,124680,235478
2048,109548,123279,232827
2049,108270,121818,230088
2050,106977,120308,227285
2051,105656,118759,224415
2052,104320,117178,221498
2053,102972,115589,218561
2054,101613,113972,215585
2055,100334,112472,212806
2056,99033,110946,209979
2057,97719,109395,207114
2058,96391,107829,204220
2059,95048,106245,201293
2060,93689,104645,198334
2061,92328,103032,195360
2062,90953,101404,192357
2063,89571,99761,189332
2064,88180,98119,186299
2065,86848,96559,183407
