year,male,female,total
2019,9872,8427,18299
2020,9812,8392,18204
2021,9751,8364,18115
2022,9691,8329,18020
2023,9629,8291,17920
2024,9556,8254,17810
2025,9490,8221,17711
2026,9423,8185,17608
2027,9357,8148,17505
2028,9287,8106,17393
2029,9206,8063,17269
2030,9119,8018,17137
2031,9030,7964,16994
2032,8940,7906,16846
2033,8843,7846,16689
2034,8740,7784,16524
2035,8644,7729,16373
2036,8543,7670,16213
2037,8437,7605,16042
2038,8324,7536,15860
2039,8205,7460,15665
2040,8082,7382,15464
2041,7958,7304,15262
2042,7828,7223,15051
2043,7694,7139,14833
2044,7560,7051,14611
2045,7433,6972,14405
2046,7307,6890,14197
2047,7176,6804,13980
2048,7046,6717,13763
2049,6911,6629,13540
2050,6777,6537,13314
2051,6643,6445,13088
2052,6508,6352,12860
2053,6378,6259,12637
2054,6250,6164,12414
2055,6131,6078,12209
2056,6013,5990,12003
2057,5897,5904,11801
2058,5782,5818,11600
2059,5671,5730,11401
2060,5562,5643,11205
2061,5459,5552,11011
2062,5353,5463,10816
2063,5250,5374,10624
2064,5150,5291,10441
2065,5057,5214,10271
