year,age_range,male,female,total
2019,0-4,313,293,606
2019,5-9,299,260,559
2019,10-14,351,300,651
2019,15-19,554,526,1080
2019,20-24,652,587,1239
2019,25-29,666,502,1168
2019,30-34,624,499,1123
2019,35-39,660,647,1307
2019,40-44,837,669,1506
2019,45-49,798,563,1361
2019,50-54,883,652,1535
2019,55-59,881,604,1485
2019,60-64,683,558,1241
2019,65-69,608,545,1153
2019,70-74,403,436,839
2019,75-79,387,394,781
2019,80-84,279,375,654
2019,85-89,127,233,360
2019,90-94,47,100,147
2019,95-99,8,20,28
2019,100+,2,0,2
2020,0-4,302,289,591
2020,5-9,321,266,587
2020,10-14,313,277,590
2020,15-19,521,467,988
2020,20-24,637,602,1239
2020,25-29,683,516,1199
2020,30-34,610,499,1109
2020,35-39,657,619,1276
2020,40-44,811,688,1499
2020,45-49,781,578,1359
2020,50-54,883,626,1509
2020,55-59,878,622,1500
2020,60-64,705,557,1262
2020,65-69,618,560,1178
2020,70-74,439,448,887
2020,75-79,366,377,743
2020,80-84,288,366,654
2020,85-89,134,248,382
2020,90-94,50,109,159
2020,95-99,8,22,30
2020,100+,0,0,0
2021,0-4,296,284,580
2021,5-9,325,283,608
2021,10-14,305,257,562
2021,15-19,468,432,900
2021,20-24,635,577,1212
2021,25-29,663,543,1206
2021,30-34,638,507,1145
2021,35-39,647,579,1226
2021,40-44,748,667,1415
2021,45-49,800,624,1424
2021,50-54,865,604,1469
2021,55-59,859,607,1466
2021,60-64,771,585,1356
2021,65-69,580,545,1125
2021,70-74,503,491,994
2021,75-79,337,351,688
2021,80-84,299,371,670
2021,85-89,140,252,392
2021,90-94,58,118,176
2021,95-99,9,30,39
2021,100+,0,0,0
2022,0-4,288,280,568
2022,5-9,335,284,619
2022,10-14,299,265,564
2022,15-19,426,365,791
2022,20-24,590,579,1169
2022,25-29,688,565,1253
2022,30-34,627,508,1135
2022,35-39,647,539,1186
2022,40-44,720,664,1384
2022,45-49,820,629,1449
2022,50-54,831,593,1424
2022,55-59,849,620,1469
2022,60-64,800,590,1390
2022,65-69,578,538,1116
2022,70-74,535,513,1048
2022,75-79,326,365,691
2022,80-84,311,350,661
2022,85-89,143,261,404
2022,90-94,61,130,191
2022,95-99,11,32,43
2022,100+,0,0,0
2023,0-4,288,276,564
2023,5-9,338,295,633
2023,10-14,289,247,536
2023,15-19,394,339,733
2023,20-24,563,566,1129
2023,25-29,676,566,1242
2023,30-34,650,498,1148
2023,35-39,628,520,1148
2023,40-44,688,679,1367
2023,45-49,821,646,1467
2023,50-54,797,562,1359
2023,55-59,855,628,1483
2023,60-64,838,594,1432
2023,65-69,590,546,1136
2023,70-74,540,510,1050
2023,75-79,326,379,705
2023,80-84,306,338,644
2023,85-89,158,266,424
2023,90-94,66,136,202
2023,95-99,14,37,51
2023,100+,0,0,0
2024,0-4,302,278,580
2024,5-9,313,293,606
2024,10-14,299,260,559
2024,15-19,351,300,651
2024,20-24,554,526,1080
2024,25-29,652,587,1239
2024,30-34,666,502,1168
2024,35-39,624,499,1123
2024,40-44,660,647,1307
2024,45-49,815,669,1484
2024,50-54,773,563,1336
2024,55-59,856,652,1508
2024,60-64,833,591,1424
2024,65-69,634,535,1169
2024,70-74,543,517,1060
2024,75-79,337,394,731
2024,80-84,289,328,617
2024,85-89,179,272,451
2024,90-94,64,134,198
2024,95-99,18,40,58
2024,100+,0,0,0
2025,0-4,303,280,583
2025,5-9,302,289,591
2025,10-14,321,266,587
2025,15-19,313,277,590
2025,20-24,521,467,988
2025,25-29,637,602,1239
2025,30-34,683,516,1199
2025,35-39,610,499,1109
2025,40-44,657,619,1276
2025,45-49,791,688,1479
2025,50-54,756,578,1334
2025,55-59,856,626,1482
2025,60-64,833,610,1443
2025,65-69,655,534,1189
2025,70-74,554,530,1084
2025,75-79,367,405,772
2025,80-84,274,314,588
2025,85-89,185,268,453
2025,90-94,68,142,210
2025,95-99,19,42,61
2025,100+,0,0,0
2026,0-4,304,282,586
2026,5-9,296,284,580
2026,10-14,325,283,608
2026,15-19,305,257,562
2026,20-24,468,432,900
2026,25-29,635,577,1212
2026,30-34,663,543,1206
2026,35-39,638,507,1145
2026,40-44,647,579,1226
2026,45-49,731,667,1398
2026,50-54,775,624,1399
2026,55-59,839,604,1443
2026,60-64,814,597,1411
2026,65-69,721,560,1281
2026,70-74,521,517,1038
2026,75-79,424,446,870
2026,80-84,252,292,544
2026,85-89,194,271,465
2026,90-94,71,146,217
2026,95-99,22,47,69
2026,100+,0,0,0
