year,male,female,total
2019,10062,8763,18825
2020,10005,8736,18741
2021,9946,8707,18653
2022,9885,8670,18555
2023,9825,8628,18453
2024,9762,8587,18349
2025,9705,8552,18257
2026,9645,8515,18160
2027,9578,8476,18054
2028,9511,8438,17949
2029,9439,8395,17834
2030,9368,8349,17717
2031,9293,8300,17593
2032,9214,8254,17468
2033,9131,8204,17335
2034,9045,8153,17198
2035,8968,8108,17076
2036,8881,8058,16939
2037,8789,8005,16794
2038,8695,7949,16644
2039,8597,7888,16485
2040,8490,7822,16312
2041,8381,7754,16135
2042,8270,7687,15957
2043,8155,7615,15770
2044,8039,7542,15581
2045,7928,7476,15404
2046,7813,7404,15217
2047,7698,7327,15025
2048,7580,7252,14832
2049,7463,7176,14639
2050,7345,7101,14446
2051,7226,7020,14246
2052,7108,6941,14049
2053,6993,6862,13855
2054,6876,6783,13659
2055,6766,6709,13475
2056,6661,6635,13296
2057,6549,6559,13108
2058,6442,6480,12922
2059,6336,6401,12737
2060,6226,6322,12548
2061,6122,6236,12358
2062,6019,6150,12169
2063,5918,6068,11986
2064,5822,5988,11810
2065,5730,5908,11638
