year,male,female,total
2019,9761,9108,18869
2020,9708,9084,18792
2021,9648,9061,18709
2022,9589,9035,18624
2023,9527,9004,18531
2024,9459,8970,18429
2025,9395,8939,18334
2026,9325,8908,18233
2027,9255,8871,18126
2028,9185,8830,18015
2029,9111,8784,17895
2030,9032,8738,17770
2031,8950,8686,17636
2032,8865,8631,17496
2033,8773,8570,17343
2034,8674,8502,17176
2035,8585,8443,17028
2036,8488,8383,16871
2037,8387,8317,16704
2038,8287,8247,16534
2039,8179,8173,16352
2040,8065,8090,16155
2041,7950,8003,15953
2042,7831,7915,15746
2043,7711,7827,15538
2044,7588,7734,15322
2045,7477,7649,15126
2046,7361,7560,14921
2047,7243,7467,14710
2048,7121,7372,14493
2049,7001,7277,14278
2050,6882,7179,14061
2051,6763,7082,13845
2052,6649,6984,13633
2053,6531,6884,13415
2054,6420,6784,13204
2055,6316,6694,13010
2056,6209,6604,12813
2057,6108,6509,12617
2058,6004,6412,12416
2059,5903,6317,12220
2060,5806,6220,12026
2061,5709,6119,11828
2062,5612,6023,11635
2063,5519,5927,11446
2064,5428,5833,11261
2065,5341,5745,11086
