year,male,female,total
2019,2513,2387,4900
2020,2527,2401,4928
2021,2537,2417,4954
2022,2546,2430,4976
2023,2552,2443,4995
2024,2555,2454,5009
2025,2559,2466,5025
2026,2557,2472,5029
2027,2554,2479,5033
2028,2550,2480,5030
2029,2544,2479,5023
2030,2535,2476,5011
2031,2527,2471,4998
2032,2518,2463,4981
2033,2509,2454,4963
2034,2498,2445,4943
2035,2490,2441,4931
2036,2479,2434,4913
2037,2467,2424,4891
2038,2453,2413,4866
2039,2437,2402,4839
2040,2420,2389,4809
2041,2401,2374,4775
2042,2382,2360,4742
2043,2362,2344,4706
2044,2337,2327,4664
2045,2316,2314,4630
2046,2292,2296,4588
2047,2267,2277,4544
2048,2242,2259,4501
2049,2218,2235,4453
2050,2192,2209,4401
2051,2166,2181,4347
2052,2141,2154,4295
2053,2117,2128,4245
2054,2089,2102,4191
2055,2066,2079,4145
2056,2040,2053,4093
2057,2014,2027,4041
2058,1987,2003,3990
2059,1961,1979,3940
2060,1934,1954,3888
2061,1904,1927,3831
2062,1876,1901,3777
2063,1845,1876,3721
2064,1815,1848,3663
2065,1783,1823,3606
