year,male,female,total
2019,35077,32705,67782
2020,35073,32771,67844
2021,35066,32833,67899
2022,35048,32897,67945
2023,35025,32950,67975
2024,34989,33000,67989
2025,34966,33055,68021
2026,34934,33110,68044
2027,34893,33160,68053
2028,34844,33197,68041
2029,34774,33224,67998
2030,34691,33239,67930
2031,34589,33240,67829
2032,34468,33222,67690
2033,34331,33199,67530
2034,34178,33154,67332
2035,34039,33131,67170
2036,33878,33083,66961
2037,33693,33019,66712
2038,33490,32944,66434
2039,33274,32855,66129
2040,33038,32747,65785
2041,32790,32628,65418
2042,32527,32495,65022
2043,32250,32349,64599
2044,31963,32191,64154
2045,31699,32048,63747
2046,31418,31890,63308
2047,31129,31720,62849
2048,30832,31534,62366
2049,30524,31338,61862
2050,30212,31129,61341
2051,29889,30899,60788
2052,29559,30656,60215
2053,29226,30400,59626
2054,28884,30140,59024
2055,28562,29892,58454
2056,28236,29634,57870
2057,27905,29364,57269
2058,27572,29078,56650
2059,27235,28782,56017
2060,26900,28478,55378
2061,26558,28161,54719
2062,26213,27844,54057
2063,25862,27508,53370
2064,25516,27173,52689
2065,25183,26851,52034
