year,male,female,total
2019,52523,52669,105192
2020,52407,52692,105099
2021,52299,52711,105010
2022,52182,52713,104895
2023,52051,52705,104756
2024,51915,52684,104599
2025,51808,52684,104492
2026,51687,52670,104357
2027,51559,52636,104195
2028,51414,52584,103998
2029,51246,52508,103754
2030,51065,52408,103473
2031,50864,52280,103144
2032,50636,52129,102765
2033,50389,51947,102336
2034,50119,51739,101858
2035,49872,51563,101435
2036,49599,51361,100960
2037,49300,51124,100424
2038,48971,50864,99835
2039,48623,50573,99196
2040,48248,50258,98506
2041,47845,49916,97761
2042,47424,49545,96969
2043,46978,49152,96130
2044,46515,48742,95257
2045,46082,48365,94447
2046,45631,47960,93591
2047,45158,47518,92676
2048,44670,47059,91729
2049,44165,46573,90738
2050,43652,46069,89721
2051,43123,45542,88665
2052,42585,45002,87587
2053,42043,44459,86502
2054,41501,43909,85410
2055,40998,43396,84394
2056,40485,42880,83365
2057,39969,42352,82321
2058,39449,41811,81260
2059,38930,41266,80196
2060,38409,40715,79124
2061,37889,40164,78053
2062,37368,39605,76973
2063,36846,39038,75884
2064,36329,38475,74804
2065,35835,37950,73785
