year,male,female,total
2019,82544,90203,172747
2020,82705,90495,173200
2021,82840,90772,173612
2022,82957,91019,173976
2023,83047,91244,174291
2024,83114,91450,174564
2025,83201,91669,174870
2026,83275,91873,175148
2027,83333,92052,175385
2028,83365,92200,175565
2029,83364,92321,175685
2030,83327,92407,175734
2031,83257,92458,175715
2032,83153,92465,175618
2033,83012,92441,175453
2034,82832,92370,175202
2035,82680,92332,175012
2036,82482,92248,174730
2037,82243,92119,174362
2038,81968,91948,173916
2039,81649,91729,173378
2040,81290,91463,172753
2041,80891,91140,172031
2042,80456,90771,171227
2043,79982,90355,170337
2044,79474,89883,169357
2045,78995,89452,168447
2046,78485,88965,167450
2047,77929,88410,166339
2048,77330,87801,165131
2049,76697,87130,163827
2050,76025,86395,162420
2051,75318,85605,160923
2052,74585,84759,159344
2053,73827,83877,157704
2054,73050,82950,156000
2055,72311,82071,154382
2056,71552,81145,152697
2057,70773,80186,150959
2058,69985,79189,149174
2059,69183,78159,147342
2060,68379,77106,145485
2061,67561,76024,143585
2062,66740,74914,141654
2063,65915,73787,139702
2064,65092,72649,137741
2065,64311,71579,135890
