cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
彰化縣彰化市文化里,1019,209,1020,199,977,170,-42,-39
彰化縣彰化市下廍里,4451,1147,4398,1154,4334,1118,-117,-29
彰化縣彰化市興北里,1397,297,1373,283,1341,286,-56,-11
彰化縣彰化市信義里,629,138,597,141,578,147,-51,9
彰化縣彰化市民生里,1100,275,1077,267,1043,250,-57,-25
彰化縣彰化市陽明里,1393,256,1375,235,1337,232,-56,-24
彰化縣彰化市萬安里,3333,709,3264,718,3167,631,-166,-78
彰化縣彰化市新興里,4612,1008,4635,996,4582,974,-30,-34
彰化縣彰化市新華里,1403,308,1404,314,1389,307,-14,-1
彰化縣彰化市龍山里,1502,291,1488,290,1471,297,-31,6
彰化縣彰化市中山里,619,147,598,138,578,135,-41,-12
彰化縣彰化市中正里,1155,237,1140,238,1071,229,-84,-8
彰化縣彰化市永福里,679,94,663,87,648,88,-31,-6
彰化縣彰化市光復里,521,92,488,86,471,75,-50,-17
彰化縣彰化市光華里,535,85,515,93,493,88,-42,3
彰化縣彰化市萬壽里,688,81,677,92,647,96,-41,15
彰化縣彰化市中央里,561,52,543,42,510,43,-51,-9
彰化縣彰化市富貴里,634,56,616,49,613,61,-21,5
彰化縣彰化市民權里,849,98,813,92,797,77,-52,-21
彰化縣彰化市西興里,3008,437,2976,439,2890,407,-118,-30
彰化縣彰化市西勢里,3303,643,3245,613,3178,609,-125,-34
彰化縣彰化市忠孝里,966,160,957,165,929,150,-37,-10
彰化縣彰化市忠權里,2821,469,2747,465,2729,474,-92,5
彰化縣彰化市五權里,3763,684,3675,659,3644,651,-119,-33
彰化縣彰化市長樂里,695,112,668,111,635,108,-60,-4
彰化縣彰化市東芳里,3088,524,3050,487,2984,477,-104,-47
彰化縣彰化市南安里,1884,329,1844,292,1834,288,-50,-41
彰化縣彰化市南美里,1623,234,1653,258,1645,258,22,24
彰化縣彰化市莿桐里,2800,356,2776,338,2736,330,-64,-26
彰化縣彰化市磚󿾨里,2957,456,2950,427,2866,418,-91,-38
彰化縣彰化市平和里,3676,486,3613,427,3578,443,-98,-43
彰化縣彰化市桃源里,1940,270,1906,268,1868,244,-72,-26
彰化縣彰化市卦山里,2023,310,1975,318,1922,342,-101,32
彰化縣彰化市東興里,1199,185,1173,170,1130,155,-69,-30
彰化縣彰化市大同里,758,78,735,84,696,75,-62,-3
彰化縣彰化市永生里,933,108,923,103,858,109,-75,1
彰化縣彰化市華陽里,1437,209,1395,199,1369,182,-68,-27
彰化縣彰化市華北里,1139,208,1117,214,1083,205,-56,-3
彰化縣彰化市南瑶里,6488,995,6392,977,6282,1021,-206,26
彰化縣彰化市成功里,1246,160,1215,166,1184,169,-62,9
彰化縣彰化市延和里,4419,886,4381,903,4374,909,-45,23
彰化縣彰化市南興里,6753,1175,6839,1289,6813,1313,60,138
彰化縣彰化市西安里,2406,281,2346,262,2283,235,-123,-46
彰化縣彰化市彰安里,2334,335,2312,336,2240,317,-94,-18
彰化縣彰化市光南里,1159,231,1162,232,1147,232,-12,1
彰化縣彰化市介壽里,2098,337,2088,319,2080,319,-18,-18
彰化縣彰化市延平里,7847,1910,7903,2010,7931,2068,84,158
彰化縣彰化市建寶里,1727,371,1704,328,1673,315,-54,-56
彰化縣彰化市福安里,773,119,755,122,742,113,-31,-6
彰化縣彰化市大竹里,2856,476,2828,471,2755,455,-101,-21
彰化縣彰化市竹中里,1402,198,1395,208,1373,206,-29,8
彰化縣彰化市安溪里,1683,283,1672,265,1673,267,-10,-16
彰化縣彰化市香山里,2887,456,2906,463,2839,444,-48,-12
彰化縣彰化市牛埔里,2485,320,2536,326,2489,323,4,3
彰化縣彰化市福山里,5857,818,5730,775,5577,747,-280,-71
彰化縣彰化市中庄里,2042,265,1989,244,1951,242,-91,-23
彰化縣彰化市三村里,1045,138,1050,134,1027,123,-18,-15
彰化縣彰化市國聖里,2109,289,2057,281,2007,250,-102,-39
彰化縣彰化市寶廍里,1108,166,1109,163,1121,174,13,8
彰化縣彰化市茄苳里,809,130,807,128,813,125,4,-5
彰化縣彰化市茄南里,2642,576,2623,599,2586,585,-56,9
彰化縣彰化市阿夷里,7730,1474,7759,1470,7679,1480,-51,6
彰化縣彰化市古夷里,2125,297,2092,315,2041,294,-84,-3
彰化縣彰化市復興里,3551,754,3445,740,3378,727,-173,-27
彰化縣彰化市和調里,2231,562,2210,546,2183,555,-48,-7
彰化縣彰化市石牌里,949,103,917,90,895,89,-54,-14
彰化縣彰化市福田里,1083,88,1060,80,1032,82,-51,-6
彰化縣彰化市竹巷里,659,98,652,91,650,90,-9,-8
彰化縣彰化市田中里,758,118,741,114,731,111,-27,-7
彰化縣彰化市快官里,950,107,916,94,928,85,-22,-22
彰化縣彰化市台鳳里,3961,524,3893,536,3808,516,-153,-8
彰化縣彰化市崙平里,4754,575,4705,572,4541,573,-213,-2
彰化縣彰化市向陽里,4935,1083,4881,1163,4840,1164,-95,81
彰化縣員林市東和里,872,127,860,125,833,113,-39,-14
彰化縣員林市民生里,2268,337,2222,340,2158,338,-110,1
彰化縣員林市中正里,2754,582,2721,563,2612,527,-142,-55
彰化縣員林市仁美里,2098,385,2094,394,2023,355,-75,-30
彰化縣員林市新興里,577,93,574,89,551,86,-26,-7
彰化縣員林市和平里,2346,457,2292,455,2239,443,-107,-14
彰化縣員林市光明里,616,104,602,97,571,88,-45,-16
彰化縣員林市中山里,443,77,429,79,414,82,-29,5
彰化縣員林市黎明里,1519,221,1476,213,1440,205,-79,-16
彰化縣員林市惠來里,4855,722,4814,734,4658,729,-197,7
彰化縣員林市三義里,2193,494,2197,484,2131,455,-62,-39
