cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
花蓮縣花蓮市民立里,1178,264,1169,265,1167,256,-11,-8
花蓮縣花蓮市民運里,1628,141,1623,140,1603,147,-25,6
花蓮縣花蓮市民族里,398,82,386,79,361,76,-37,-6
花蓮縣花蓮市主信里,457,122,496,139,527,151,70,29
花蓮縣花蓮市主睦里,466,111,469,117,455,113,-11,2
花蓮縣花蓮市主和里,2507,526,2452,517,2372,506,-135,-20
花蓮縣花蓮市國威里,1514,368,1446,342,1422,351,-92,-17
花蓮縣花蓮市國風里,2672,917,2622,894,2566,879,-106,-38
花蓮縣花蓮市民德里,1299,362,1283,344,1227,317,-72,-45
花蓮縣花蓮市民意里,1606,146,1567,118,1562,142,-44,-4
花蓮縣花蓮市主義里,389,49,371,40,368,33,-21,-16
花蓮縣花蓮市主工里,429,134,430,142,406,134,-23,0
花蓮縣花蓮市主農里,3087,668,3042,670,2997,691,-90,23
花蓮縣花蓮市國治里,774,241,746,230,716,221,-58,-20
花蓮縣花蓮市國富里,4204,482,4057,436,3911,404,-293,-78
花蓮縣花蓮市民政里,3067,433,3049,418,3023,391,-44,-42
花蓮縣花蓮市民勤里,2829,998,2768,990,2741,989,-88,-9
花蓮縣花蓮市民生里,940,175,913,188,878,189,-62,14
花蓮縣花蓮市主商里,485,134,464,124,443,118,-42,-16
花蓮縣花蓮市主學里,1542,425,1511,403,1521,402,-21,-23
花蓮縣花蓮市國光里,1001,178,1023,189,999,186,-2,8
花蓮縣花蓮市國聯里,2356,231,2345,226,2295,230,-61,-1
花蓮縣花蓮市國強里,1572,200,1565,192,1570,193,-2,-7
花蓮縣花蓮市民心里,782,54,787,63,775,61,-7,7
花蓮縣花蓮市民樂里,521,48,521,61,518,67,-3,19
花蓮縣花蓮市民主里,505,128,505,131,475,102,-30,-26
花蓮縣花蓮市主勤里,640,160,626,166,606,154,-34,-6
花蓮縣花蓮市主力里,2220,477,2204,487,2155,463,-65,-14
花蓮縣花蓮市國安里,405,80,398,83,397,85,-8,5
花蓮縣花蓮市國魂里,1623,411,1536,384,1505,380,-118,-31
花蓮縣花蓮市國慶里,934,138,934,129,911,130,-23,-8
花蓮縣花蓮市民享里,2690,252,2699,241,2675,245,-15,-7
花蓮縣花蓮市民有里,511,132,507,129,503,127,-8,-5
花蓮縣花蓮市民權里,362,94,346,93,354,87,-8,-7
花蓮縣花蓮市主計里,715,109,698,90,701,91,-14,-18
花蓮縣花蓮市主權里,4540,871,4477,867,4399,872,-141,1
花蓮縣花蓮市國華里,1839,566,1818,569,1747,554,-92,-12
花蓮縣花蓮市國防里,746,127,723,110,724,110,-22,-17
花蓮縣花蓮市國福里,1299,129,1252,123,1246,128,-53,-1
花蓮縣花蓮市國裕里,3648,481,3563,461,3516,452,-132,-29
花蓮縣花蓮市主安里,2086,516,2057,510,2018,512,-68,-4
花蓮縣花蓮市國盛里,3396,358,3362,365,3240,332,-156,-26
花蓮縣花蓮市國興里,3748,352,3720,345,3719,338,-29,-14
花蓮縣花蓮市民孝里,3030,426,3039,405,2969,389,-61,-37
花蓮縣鳳林鎮鳳仁里,928,105,915,126,890,127,-38,22
花蓮縣鳳林鎮鳳義里,467,45,460,47,438,40,-29,-5
花蓮縣鳳林鎮鳳禮里,440,33,429,35,420,43,-20,10
花蓮縣鳳林鎮鳳智里,845,139,828,142,820,153,-25,14
花蓮縣鳳林鎮鳳信里,1073,104,1075,114,1061,118,-12,14
花蓮縣鳳林鎮山興里,386,28,367,29,368,34,-18,6
花蓮縣鳳林鎮大榮里,979,109,973,119,967,112,-12,3
花蓮縣鳳林鎮北林里,398,50,386,46,389,52,-9,2
花蓮縣鳳林鎮南平里,364,26,349,30,336,28,-28,2
花蓮縣鳳林鎮林榮里,590,81,582,89,577,90,-13,9
花蓮縣鳳林鎮長橋里,708,60,679,69,675,75,-33,15
花蓮縣鳳林鎮森榮里,59,2,57,3,54,4,-5,2
花蓮縣玉里鎮中城里,4390,723,4315,702,4231,686,-159,-37
花蓮縣玉里鎮啟模里,1355,159,1340,160,1321,162,-34,3
花蓮縣玉里鎮永昌里,977,121,955,124,903,120,-74,-1
花蓮縣玉里鎮泰昌里,974,73,949,77,915,90,-59,17
花蓮縣玉里鎮國武里,947,113,901,120,866,109,-81,-4
花蓮縣玉里鎮源城里,987,105,960,99,951,86,-36,-19
花蓮縣玉里鎮長良里,525,63,514,61,502,61,-23,-2
花蓮縣玉里鎮樂合里,772,64,747,57,712,64,-60,0
花蓮縣玉里鎮東豐里,406,45,392,52,385,50,-21,5
花蓮縣玉里鎮觀音里,1167,137,1165,133,1151,117,-16,-20
花蓮縣玉里鎮松浦里,1258,131,1217,121,1183,101,-75,-30
花蓮縣玉里鎮春日里,687,91,669,81,669,81,-18,-10
花蓮縣玉里鎮德武里,613,64,604,58,590,52,-23,-12
花蓮縣玉里鎮三民里,662,73,637,69,639,75,-23,2
花蓮縣玉里鎮大禹里,832,115,819,110,812,102,-20,-13
花蓮縣新城鄉新城村,1002,129,983,133,933,128,-69,-1
花蓮縣新城鄉順安村,716,98,712,94,709,89,-7,-9
花蓮縣新城鄉康樂村,2087,217,2067,222,2057,208,-30,-9
