cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
嘉義縣太保市太保里,1881,252,1875,258,1874,258,-7,6
嘉義縣太保市後庄里,368,56,353,49,343,43,-25,-13
嘉義縣太保市前潭里,1100,151,1077,142,1067,159,-33,8
嘉義縣太保市後潭里,1307,174,1294,177,1276,179,-31,5
嘉義縣太保市梅埔里,888,101,882,99,864,97,-24,-4
嘉義縣太保市春珠里,862,111,831,112,837,110,-25,-1
嘉義縣太保市崙頂里,610,61,598,71,577,72,-33,11
嘉義縣太保市東勢里,1503,325,1531,333,1545,352,42,27
嘉義縣太保市新埤里,952,90,937,95,907,87,-45,-3
嘉義縣太保市舊埤里,2125,248,2119,235,2182,237,57,-11
嘉義縣太保市田尾里,538,51,527,51,507,51,-31,0
嘉義縣太保市港尾里,428,25,405,18,395,27,-33,2
嘉義縣太保市過溝里,2964,417,3024,449,3013,480,49,63
嘉義縣太保市麻寮里,3989,702,3976,683,4010,692,21,-10
嘉義縣太保市南新里,1469,205,1449,201,1408,187,-61,-18
嘉義縣太保市北新里,2597,405,2593,385,2599,378,2,-27
嘉義縣太保市埤鄉里,508,61,494,60,494,55,-14,-6
嘉義縣太保市安仁里,2318,636,2385,620,2425,625,107,-11
嘉義縣朴子市安福里,1538,267,1522,277,1473,280,-65,13
嘉義縣朴子市平和里,1852,338,1854,323,1878,307,26,-31
嘉義縣朴子市內厝里,826,143,799,135,800,130,-26,-13
嘉義縣朴子市開元里,235,33,232,26,225,23,-10,-10
嘉義縣朴子市順天里,432,61,422,69,406,49,-26,-12
嘉義縣朴子市中正里,429,58,411,59,391,55,-38,-3
嘉義縣朴子市博厚里,681,142,671,147,663,151,-18,9
嘉義縣朴子市文化里,1218,188,1191,170,1145,180,-73,-8
嘉義縣朴子市永和里,1973,328,1924,328,1904,327,-69,-1
嘉義縣朴子市竹圍里,3410,664,3381,649,3349,656,-61,-8
嘉義縣朴子市新寮里,532,77,515,73,510,84,-22,7
嘉義縣朴子市双溪里,431,41,412,39,395,43,-36,2
嘉義縣朴子市溪口里,575,88,564,81,538,68,-37,-20
嘉義縣朴子市德興里,776,107,751,111,730,118,-46,11
