cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
宜蘭縣宜蘭市神農里,1941,287,1868,285,1790,299,-151,12
宜蘭縣宜蘭市民權里,1332,230,1259,220,1260,214,-72,-16
宜蘭縣宜蘭市進士里,1640,200,1603,211,1577,217,-63,17
宜蘭縣宜蘭市南橋里,968,193,977,207,994,195,26,2
宜蘭縣宜蘭市建業里,1412,307,1444,304,1540,304,128,-3
宜蘭縣宜蘭市南津里,1580,385,1626,379,1658,403,78,18
宜蘭縣宜蘭市凱旋里,1057,182,1049,194,1031,190,-26,8
宜蘭縣宜蘭市黎明里,1495,324,1498,340,1489,324,-6,0
宜蘭縣宜蘭市東村里,1894,375,1879,395,1874,407,-20,32
宜蘭縣宜蘭市延平里,2893,630,2902,598,2857,578,-36,-52
宜蘭縣宜蘭市七張里,1154,210,1168,207,1168,204,14,-6
宜蘭縣宜蘭市慈安里,1511,170,1493,146,1468,141,-43,-29
宜蘭縣宜蘭市新民里,1004,163,974,162,942,167,-62,4
宜蘭縣宜蘭市東門里,651,82,649,89,639,77,-12,-5
宜蘭縣宜蘭市小東里,1182,152,1163,162,1163,171,-19,19
宜蘭縣宜蘭市菜園里,1001,110,1009,107,1001,127,0,17
宜蘭縣宜蘭市孝廉里,847,103,863,97,837,79,-10,-24
宜蘭縣宜蘭市新生里,2049,324,2047,330,2015,347,-34,23
宜蘭縣宜蘭市茭白里,1728,282,1722,302,1730,341,2,59
宜蘭縣宜蘭市北津里,1805,279,1759,289,1713,291,-92,12
宜蘭縣宜蘭市梅洲里,2542,350,2520,325,2541,348,-1,-2
宜蘭縣宜蘭市北門里,884,114,852,117,826,114,-58,0
宜蘭縣宜蘭市中山里,647,57,631,56,601,53,-46,-4
宜蘭縣宜蘭市西門里,1275,221,1276,216,1255,211,-20,-10
宜蘭縣宜蘭市南門里,1002,212,976,197,950,201,-52,-11
宜蘭縣宜蘭市負郭里,2382,549,2353,554,2304,572,-78,23
宜蘭縣宜蘭市民族里,1635,359,1610,354,1556,332,-79,-27
宜蘭縣宜蘭市建軍里,1288,218,1274,209,1243,186,-45,-32
宜蘭縣宜蘭市思源里,3752,611,3742,622,3657,604,-95,-7
宜蘭縣宜蘭市文化里,2368,501,2363,486,2339,489,-29,-12
宜蘭縣宜蘭市復興里,1918,252,1914,252,1870,241,-48,-11
宜蘭縣宜蘭市成功里,2691,532,2682,499,2651,479,-40,-53
宜蘭縣宜蘭市新東里,2677,543,2632,528,2560,520,-117,-23
宜蘭縣宜蘭市七結里,2153,369,2147,342,2103,361,-50,-8
宜蘭縣宜蘭市泰山里,1650,385,1644,392,1605,363,-45,-22
宜蘭縣宜蘭市大新里,544,63,534,57,521,55,-23,-8
宜蘭縣宜蘭市中興里,2379,407,2296,377,2249,383,-130,-24
宜蘭縣宜蘭市擺厘里,2313,383,2246,353,2191,331,-122,-52
宜蘭縣羅東鎮大新里,1174,204,1196,199,1208,185,34,-19
宜蘭縣羅東鎮東安里,3012,583,2987,546,2946,542,-66,-41
宜蘭縣羅東鎮新群里,2237,351,2224,330,2182,316,-55,-35
宜蘭縣羅東鎮羅莊里,2529,421,2474,404,2441,434,-88,13
宜蘭縣羅東鎮南昌里,1851,326,1826,315,1803,307,-48,-19
宜蘭縣羅東鎮南豪里,971,257,962,264,924,228,-47,-29
宜蘭縣羅東鎮成功里,1174,263,1158,263,1152,253,-22,-10
宜蘭縣羅東鎮仁德里,828,139,819,139,817,136,-11,-3
宜蘭縣羅東鎮漢民里,2851,746,2802,747,2774,731,-77,-15
宜蘭縣羅東鎮西安里,2244,403,2166,393,2177,393,-67,-10
宜蘭縣羅東鎮北成里,2319,526,2269,518,2261,526,-58,0
宜蘭縣羅東鎮賢文里,2766,630,2697,613,2647,587,-119,-43
宜蘭縣羅東鎮公正里,2090,579,2087,576,2038,568,-52,-11
宜蘭縣羅東鎮集祥里,883,192,839,162,820,162,-63,-30
宜蘭縣羅東鎮信義里,2251,583,2236,579,2267,576,16,-7
宜蘭縣羅東鎮竹林里,2229,537,2185,491,2175,454,-54,-83
宜蘭縣羅東鎮仁愛里,3011,620,2947,617,2915,594,-96,-26
宜蘭縣羅東鎮樹林里,2715,658,2696,643,2649,602,-66,-56
宜蘭縣羅東鎮國華里,3578,853,3493,813,3429,820,-149,-33
宜蘭縣羅東鎮維揚里,2418,549,2364,532,2314,517,-104,-32
宜蘭縣羅東鎮開明里,989,159,953,146,946,146,-43,-13
宜蘭縣羅東鎮中山里,950,181,909,161,901,156,-49,-25
宜蘭縣羅東鎮仁和里,704,124,689,117,653,124,-51,0
宜蘭縣蘇澳鎮龍德里,2697,320,2645,314,2578,276,-119,-44
宜蘭縣蘇澳鎮頂寮里,836,99,823,99,825,116,-11,17
宜蘭縣蘇澳鎮永榮里,2959,525,2963,514,2976,501,17,-24
宜蘭縣蘇澳鎮存仁里,635,77,595,71,574,70,-61,-7
宜蘭縣蘇澳鎮港邊里,916,169,894,170,846,191,-70,22
宜蘭縣蘇澳鎮隘丁里,2449,426,2470,437,2473,436,24,10
宜蘭縣蘇澳鎮新城里,983,136,1010,147,1125,177,142,41
宜蘭縣蘇澳鎮聖湖里,1707,237,1670,226,1606,214,-101,-23
宜蘭縣蘇澳鎮蘇西里,1767,211,1732,202,1661,207,-106,-4
宜蘭縣蘇澳鎮蘇北里,718,78,705,65,662,56,-56,-22
