cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
高雄市鹽埕區藍橋里,1088,117,1061,107,1043,93,-45,-24
高雄市鹽埕區慈愛里,272,25,255,21,238,21,-34,-4
高雄市鹽埕區博愛里,488,36,477,42,475,39,-13,3
高雄市鹽埕區壽星里,993,95,963,82,928,84,-65,-11
高雄市鹽埕區中山里,832,77,882,86,928,90,96,13
高雄市鹽埕區教仁里,1554,134,1520,126,1477,116,-77,-18
高雄市鹽埕區新樂里,632,55,609,53,585,51,-47,-4
高雄市鹽埕區中原里,470,54,456,54,422,57,-48,3
高雄市鹽埕區光明里,1069,78,1061,93,1048,80,-21,2
高雄市鹽埕區育仁里,577,73,587,75,565,77,-12,4
高雄市鹽埕區河濱里,1279,116,1224,112,1183,93,-96,-23
高雄市鹽埕區沙地里,590,57,543,60,554,53,-36,-4
高雄市鹽埕區南端里,731,66,701,66,670,66,-61,0
高雄市鹽埕區港都里,820,96,803,85,770,78,-50,-18
高雄市鹽埕區江西里,850,72,845,69,792,69,-58,-3
高雄市鹽埕區新豐里,670,107,662,98,638,91,-32,-16
高雄市鹽埕區府北里,1548,124,1581,138,1551,129,3,5
高雄市鹽埕區陸橋里,888,84,868,76,841,72,-47,-12
高雄市鹽埕區瀨南里,437,24,421,22,404,22,-33,-2
高雄市鹽埕區新化里,471,51,445,47,425,52,-46,1
高雄市鹽埕區江南里,513,69,504,56,476,56,-37,-13
高雄市鼓山區鼓峰里,1549,107,1544,114,1515,115,-34,8
高雄市鼓山區雄峰里,1571,128,1524,126,1450,118,-121,-10
高雄市鼓山區前峰里,3305,256,3219,266,3115,260,-190,4
高雄市鼓山區光榮里,2722,260,2670,261,2617,251,-105,-9
高雄市鼓山區民族里,1022,96,1015,92,998,84,-24,-12
高雄市鼓山區內惟里,875,91,874,73,851,63,-24,-28
高雄市鼓山區建國里,2041,218,2010,229,1955,212,-86,-6
高雄市鼓山區忠正里,3019,298,2971,285,2867,290,-152,-8
高雄市鼓山區自強里,469,34,470,30,451,26,-18,-8
高雄市鼓山區龍井里,956,93,949,100,916,88,-40,-5
高雄市鼓山區正德里,1661,168,1653,169,1615,162,-46,-6
高雄市鼓山區平和里,2789,313,2737,310,2658,299,-131,-14
高雄市鼓山區民強里,2111,199,2022,197,1948,186,-163,-13
高雄市鼓山區厚生里,2571,293,2551,267,2512,261,-59,-32
高雄市鼓山區龍子里,13727,4034,13910,4006,13927,3941,200,-93
高雄市鼓山區龍水里,19607,6346,20206,6445,20683,6601,1076,255
高雄市鼓山區明誠里,14851,3302,14865,3364,14741,3305,-110,3
高雄市鼓山區華豐里,3340,288,3248,257,3191,270,-149,-18
高雄市鼓山區裕興里,2614,292,2567,279,2504,283,-110,-9
高雄市鼓山區裕豐里,2099,142,2013,163,1947,164,-152,22
高雄市鼓山區鼓岩里,869,56,833,44,808,44,-61,-12
高雄市鼓山區樹德里,945,91,921,85,894,81,-51,-10
高雄市鼓山區寶樹里,1531,67,1515,62,1536,66,5,-1
高雄市鼓山區興宗里,1005,71,982,71,938,66,-67,-5
