cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
新竹市東區南門里,507,52,492,52,479,54,-28,2
新竹市東區福德里,1018,137,1028,144,1023,142,5,5
新竹市東區南市里,633,73,607,71,594,72,-39,-1
新竹市東區關帝里,337,34,299,37,293,35,-44,1
新竹市東區東門里,366,70,366,74,344,73,-22,3
新竹市東區榮光里,179,30,173,23,166,24,-13,-6
新竹市東區成功里,432,82,423,82,401,63,-31,-19
新竹市東區下竹里,312,52,295,40,289,31,-23,-21
新竹市東區竹蓮里,545,85,525,85,506,80,-39,-5
新竹市東區寺前里,513,71,491,70,491,75,-22,4
新竹市東區育賢里,1228,237,1241,216,1312,217,84,-20
新竹市東區中正里,447,109,431,127,426,121,-21,12
新竹市東區公園里,2743,735,2726,713,2723,708,-20,-27
新竹市東區頂竹里,2159,296,2124,295,2031,274,-128,-22
新竹市東區南大里,1057,158,1053,158,1000,140,-57,-18
新竹市東區振興里,4492,701,4401,644,4359,613,-133,-88
新竹市東區親仁里,1397,441,1398,443,1444,448,47,7
新竹市東區文華里,3673,986,3661,988,3608,1002,-65,16
新竹市東區復中里,3374,891,3355,891,3317,893,-57,2
新竹市東區三民里,3848,990,3757,947,3681,944,-167,-46
新竹市東區東園里,4986,2220,5138,2307,5183,2382,197,162
新竹市東區東勢里,2059,734,2076,723,2612,930,553,196
新竹市東區光復里,2269,620,2342,678,2360,737,91,117
新竹市東區豐功里,3799,1132,3788,1133,3800,1076,1,-56
新竹市東區武功里,3275,897,3282,872,3217,831,-58,-66
新竹市東區綠水里,5447,2016,5446,1922,5456,1877,9,-139
新竹市東區東山里,2511,879,2446,864,2408,846,-103,-33
新竹市東區光鎮里,2758,529,2725,537,2753,524,-5,-5
新竹市東區新興里,2189,392,2132,359,2145,325,-44,-67
新竹市東區柴橋里,4434,741,4390,708,4383,660,-51,-81
新竹市東區高峰里,4624,840,4565,785,4427,706,-197,-134
新竹市東區仙宮里,1091,185,1076,187,1071,182,-20,-3
新竹市東區光明里,2533,604,2480,575,2410,548,-123,-56
新竹市東區立功里,731,131,742,131,716,110,-15,-21
新竹市東區軍功里,2225,585,2196,554,2141,510,-84,-75
新竹市東區建功里,2690,634,2737,670,2852,755,162,121
新竹市東區前溪里,2258,554,2208,566,2166,562,-92,8
新竹市東區水源里,2647,425,2597,418,2532,436,-115,11
新竹市東區千甲里,1697,302,1700,312,1681,319,-16,17
新竹市東區埔頂里,4391,1591,4631,1759,5159,1975,768,384
新竹市東區龍山里,7694,3402,8319,3705,8718,3936,1024,534
新竹市東區新莊里,4583,1362,4599,1364,4557,1335,-26,-27
新竹市東區仙水里,3881,1175,3893,1154,3862,1089,-19,-86
新竹市東區金山里,4434,966,4420,905,4426,882,-8,-84
新竹市東區關東里,4016,1094,4013,1079,4021,1118,5,24
新竹市東區科園里,5539,1876,5488,1856,5363,1763,-176,-113
新竹市東區建華里,1949,494,1933,496,1869,476,-80,-18
新竹市東區新光里,2644,484,2595,462,2576,440,-68,-44
新竹市東區復興里,4272,1392,4282,1395,4264,1384,-8,-8
新竹市東區錦華里,1503,430,1514,417,1562,445,59,15
新竹市東區湖濱里,2834,470,2772,432,2690,403,-144,-67
新竹市東區明湖里,4391,1002,4344,970,4322,932,-69,-70
新竹市東區關新里,3624,1708,3753,1762,3880,1801,256,93
新竹市北區西門里,418,68,417,67,414,70,-4,2
新竹市北區仁德里,514,69,503,65,504,65,-10,-4
新竹市北區潛園里,515,54,502,62,501,59,-14,5
新竹市北區中央里,335,40,322,36,307,33,-28,-7
新竹市北區崇禮里,779,70,782,75,740,76,-39,6
新竹市北區石坊里,393,43,376,38,376,43,-17,0
新竹市北區興南里,1060,324,1018,308,1004,286,-56,-38
新竹市北區北門里,751,150,745,138,742,129,-9,-21
新竹市北區中興里,466,82,591,109,650,115,184,33
新竹市北區大同里,595,128,600,142,585,156,-10,28
新竹市北區中山里,606,137,602,130,599,123,-7,-14
新竹市北區長和里,1139,332,1098,305,1055,265,-84,-67
新竹市北區新民里,1216,255,1185,269,1192,264,-24,9
新竹市北區民富里,3950,1185,3935,1174,3885,1145,-65,-40
新竹市北區水田里,2320,348,2288,334,2267,363,-53,15
新竹市北區文雅里,3131,611,3082,595,3088,574,-43,-37
新竹市北區光田里,1635,279,1587,268,1541,238,-94,-41
