cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
新竹縣竹北市斗崙里,5965,2164,6237,2233,6482,2263,517,99
新竹縣竹北市鹿場里,9364,4644,9774,4722,10224,4678,860,34
新竹縣竹北市東平里,10166,5008,10917,5377,11417,5345,1251,337
新竹縣竹北市中興里,6437,2569,7057,2906,7561,3025,1124,456
新竹縣竹北市隘口里,2175,838,2394,948,2610,1041,435,203
新竹縣竹北市東海里,2447,340,2392,353,2342,331,-105,-9
新竹縣竹北市竹北里,5711,1805,6238,1972,6640,2103,929,298
新竹縣竹北市竹仁里,7703,1860,7545,1768,7441,1720,-262,-140
新竹縣竹北市竹義里,4920,989,4943,927,4874,850,-46,-139
新竹縣竹北市泰和里,4991,1066,5011,1069,5045,1044,54,-22
新竹縣竹北市新社里,5797,1076,5790,1035,5867,1003,70,-73
新竹縣竹北市聯興里,3802,591,3728,547,3646,524,-156,-67
新竹縣竹北市麻園里,1651,250,1676,267,1652,246,1,-4
新竹縣竹北市溪州里,2015,243,2012,240,2001,233,-14,-10
新竹縣竹北市白地里,1762,231,1718,222,1732,238,-30,7
新竹縣竹北市新港里,945,127,934,116,934,105,-11,-22
新竹縣竹北市大義里,1269,174,1271,187,1262,184,-7,10
新竹縣竹北市崇義里,1549,220,1530,208,1486,195,-63,-25
新竹縣竹北市大眉里,1443,238,1433,231,1422,218,-21,-20
新竹縣竹北市尚義里,1348,148,1356,150,1364,138,16,-10
新竹縣竹北市十興里,6149,2890,6362,2932,6566,2799,417,-91
新竹縣竹北市新國里,5009,986,5083,964,5191,954,182,-32
新竹縣竹北市新庄里,857,83,852,75,833,70,-24,-13
新竹縣竹北市北崙里,3469,828,3434,813,3409,794,-60,-34
新竹縣竹北市新崙里,5305,1080,5419,1108,5427,1059,122,-21
新竹縣竹北市福德里,2563,487,2562,488,2548,478,-15,-9
新竹縣竹北市東興里,5394,1926,5934,2091,6481,2246,1087,320
新竹縣竹北市北興里,3618,1396,4324,1787,5180,2374,1562,978
新竹縣竹北市興安里,3264,871,3284,826,3378,854,114,-17
新竹縣竹北市文化里,3097,747,3097,746,3101,744,4,-3
新竹縣竹北市中崙里,5499,1889,5539,1898,5680,1961,181,72
新竹縣關西鎮東興里,324,58,318,54,315,53,-9,-5
新竹縣關西鎮西安里,1479,226,1434,224,1418,220,-61,-6
新竹縣關西鎮南雄里,520,60,509,58,500,59,-20,-1
新竹縣關西鎮北斗里,2730,439,2688,441,2671,422,-59,-17
新竹縣關西鎮仁安里,727,83,699,80,649,85,-78,2
新竹縣關西鎮北山里,537,60,537,70,524,64,-13,4
新竹縣關西鎮南山里,790,125,771,123,750,111,-40,-14
新竹縣關西鎮東安里,2968,442,2992,450,2990,437,22,-5
新竹縣關西鎮東光里,976,103,948,96,913,92,-63,-11
新竹縣關西鎮新富里,393,38,378,33,371,34,-22,-4
新竹縣關西鎮金山里,397,35,384,29,370,27,-27,-8
新竹縣關西鎮錦山里,674,77,659,79,655,72,-19,-5
新竹縣關西鎮玉山里,315,41,295,43,285,35,-30,-6
新竹縣關西鎮大同里,538,52,524,48,511,47,-27,-5
新竹縣關西鎮石光里,1318,143,1292,137,1265,132,-53,-11
新竹縣關西鎮上林里,550,78,532,70,527,68,-23,-10
新竹縣關西鎮新力里,383,22,367,20,355,23,-28,1
新竹縣關西鎮南和里,635,65,609,67,598,72,-37,7
新竹縣關西鎮東山里,619,64,601,58,584,63,-35,-1
新竹縣關西鎮南新里,601,31,571,34,568,36,-33,5
新竹縣關西鎮東平里,660,33,647,46,598,43,-62,10
新竹縣新埔鎮內立里,817,91,788,81,773,70,-44,-21
新竹縣新埔鎮寶石里,626,70,611,69,595,64,-31,-6
新竹縣新埔鎮文山里,3355,315,3350,277,3410,255,55,-60
新竹縣新埔鎮五埔里,1569,225,1553,220,1528,215,-41,-10
新竹縣新埔鎮四座里,2552,350,2518,349,2436,333,-116,-17
新竹縣新埔鎮旱坑里,1323,181,1279,166,1220,148,-103,-33
新竹縣新埔鎮田新里,1971,295,1996,305,2415,368,444,73
新竹縣新埔鎮新埔里,654,91,652,78,649,91,-5,0
新竹縣新埔鎮新生里,395,55,379,57,370,52,-25,-3
新竹縣新埔鎮新民里,776,109,753,97,730,95,-46,-14
新竹縣新埔鎮上寮里,1380,176,1387,171,1367,161,-13,-15
新竹縣新埔鎮下寮里,2000,177,1972,177,1920,167,-80,-10
新竹縣新埔鎮南平里,699,99,678,88,650,92,-49,-7
新竹縣新埔鎮北平里,459,65,450,54,443,51,-16,-14
新竹縣新埔鎮巨埔里,809,112,807,108,782,107,-27,-5
新竹縣新埔鎮照門里,1009,139,975,124,932,106,-77,-33
新竹縣新埔鎮清水里,298,22,276,18,265,13,-33,-9
新竹縣新埔鎮鹿鳴里,512,72,509,69,485,62,-27,-10
新竹縣新埔鎮新北里,401,43,385,39,382,31,-19,-12
新竹縣竹東鎮上坪里,200,27,195,23,192,20,-8,-7
新竹縣竹東鎮瑞峰里,288,24,279,21,257,12,-31,-12
新竹縣竹東鎮軟橋里,284,26,273,23,272,24,-12,-2
新竹縣竹東鎮員崠里,1781,193,1765,178,1747,180,-34,-13
新竹縣竹東鎮東寧里,2580,343,2526,332,2463,287,-117,-56
