cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
苗栗縣苗栗市中苗里,843,188,865,186,851,175,8,-13
苗栗縣苗栗市建功里,3154,589,3106,580,3052,567,-102,-22
苗栗縣苗栗市青苗里,741,91,738,103,722,98,-19,7
苗栗縣苗栗市玉清里,1573,312,1547,315,1505,282,-68,-30
苗栗縣苗栗市玉華里,2771,527,2714,497,2665,494,-106,-33
苗栗縣苗栗市維新里,2635,370,2588,343,2535,343,-100,-27
苗栗縣苗栗市維祥里,2558,323,2490,316,2404,304,-154,-19
苗栗縣苗栗市綠苗里,610,68,575,65,539,66,-71,-2
苗栗縣苗栗市高苗里,2553,376,2528,363,2509,361,-44,-15
苗栗縣苗栗市玉苗里,644,100,624,92,608,87,-36,-13
苗栗縣苗栗市大同里,357,41,346,38,335,41,-22,0
苗栗縣苗栗市新苗里,617,52,583,50,556,44,-61,-8
苗栗縣苗栗市勝利里,3015,319,2938,323,2856,308,-159,-11
苗栗縣苗栗市恭敬里,1047,155,1041,139,1000,126,-47,-29
苗栗縣苗栗市上苗里,1120,229,1100,222,1046,197,-74,-32
苗栗縣苗栗市北苗里,3924,809,3884,839,3823,870,-101,61
苗栗縣苗栗市清華里,2268,352,2240,316,2183,303,-85,-49
苗栗縣苗栗市嘉盛里,2666,408,2605,385,2554,353,-112,-55
苗栗縣苗栗市福星里,3280,539,3233,528,3169,516,-111,-23
苗栗縣苗栗市新川里,889,116,878,111,850,99,-39,-17
苗栗縣苗栗市文山里,3050,662,3123,723,3266,838,216,176
苗栗縣苗栗市福麗里,4134,745,4165,809,4165,844,31,99
苗栗縣苗栗市水源里,1996,263,1973,264,1944,240,-52,-23
苗栗縣苗栗市新英里,1344,194,1314,195,1297,187,-47,-7
苗栗縣苗栗市福安里,2848,426,2831,402,2803,409,-45,-17
苗栗縣苗栗市嘉新里,2145,327,2061,297,1981,304,-164,-23
苗栗縣苗栗市南勢里,1578,194,1509,176,1457,172,-121,-22
苗栗縣苗栗市文聖里,3044,506,3019,478,2988,469,-56,-37
苗栗縣頭份市流東里,1751,212,1694,212,1654,206,-97,-6
苗栗縣頭份市珊湖里,1338,156,1323,146,1296,153,-42,-3
苗栗縣頭份市斗煥里,2399,384,2334,368,2250,356,-149,-28
苗栗縣頭份市新華里,2889,429,2898,424,2885,410,-4,-19
苗栗縣頭份市興隆里,3648,575,3590,545,3596,545,-52,-30
苗栗縣頭份市上埔里,2039,333,2018,324,1961,309,-78,-24
苗栗縣頭份市土牛里,771,151,782,159,793,154,22,3
苗栗縣頭份市頭份里,2678,512,2631,493,2590,455,-88,-57
苗栗縣頭份市忠孝里,2527,634,2474,588,2459,597,-68,-37
苗栗縣頭份市仁愛里,1174,208,1149,202,1153,201,-21,-7
苗栗縣頭份市信義里,743,91,728,105,742,86,-1,-5
苗栗縣頭份市和平里,769,127,770,127,754,112,-15,-15
苗栗縣頭份市民族里,1588,250,1572,260,1589,291,1,41
苗栗縣頭份市東庄里,3046,624,3316,748,3617,837,571,213
苗栗縣頭份市後庄里,3552,768,3658,784,3801,842,249,74
苗栗縣頭份市山下里,3347,696,3403,678,3440,674,93,-22
苗栗縣頭份市蟠桃里,2894,834,2922,890,2972,910,78,76
苗栗縣頭份市田寮里,3349,583,3314,578,3293,583,-56,0
苗栗縣頭份市蘆竹里,993,157,962,148,934,146,-59,-11
苗栗縣頭份市上興里,1710,300,1769,300,1783,319,73,19
苗栗縣頭份市下興里,2049,313,2039,303,2011,297,-38,-16
苗栗縣頭份市尖山里,1061,136,1005,133,964,120,-97,-16
苗栗縣頭份市尖下里,2022,276,1998,264,1928,236,-94,-40
苗栗縣頭份市廣興里,665,88,645,77,624,76,-41,-12
苗栗縣頭份市濫坑里,1782,232,1778,210,1773,200,-9,-32
