cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
桃園市桃園區文化里,522,84,641,108,757,123,235,39
桃園市桃園區文明里,972,164,942,176,919,178,-53,14
桃園市桃園區武陵里,1188,158,1174,167,1189,171,1,13
桃園市桃園區大林里,5997,1656,6013,1703,6036,1698,39,42
桃園市桃園區忠義里,3107,587,3063,573,2996,546,-111,-41
桃園市桃園區會稽里,7969,1451,7968,1431,8208,1499,239,48
桃園市桃園區長美里,692,128,654,130,639,123,-53,-5
桃園市桃園區民生里,1049,162,1032,171,1194,179,145,17
桃園市桃園區永興里,1224,171,1317,184,1311,202,87,31
桃園市桃園區汴洲里,4389,828,4662,913,5112,979,723,151
桃園市桃園區永安里,3635,712,3620,711,3569,683,-66,-29
桃園市桃園區東埔里,3812,640,3685,580,3585,580,-227,-60
桃園市桃園區東門里,2228,345,2192,346,2216,357,-12,12
桃園市桃園區東山里,1431,206,1419,217,1375,199,-56,-7
桃園市桃園區萬壽里,725,110,687,110,652,100,-73,-10
桃園市桃園區長安里,2883,594,2850,586,2778,559,-105,-35
桃園市桃園區中埔里,1781,275,1860,294,1891,290,110,15
桃園市桃園區西埔里,2512,407,2501,389,2429,361,-83,-46
桃園市桃園區西門里,1194,208,1126,197,1173,220,-21,12
桃園市桃園區中和里,1001,125,970,117,913,108,-88,-17
桃園市桃園區文昌里,561,116,521,125,503,128,-58,12
桃園市桃園區新埔里,8066,1443,8113,1474,8274,1534,208,91
桃園市桃園區中山里,5863,1193,5825,1191,5773,1184,-90,-9
桃園市桃園區慈文里,5302,1149,5242,1179,5299,1237,-3,88
桃園市桃園區西湖里,1107,202,1101,210,1063,178,-44,-24
桃園市桃園區南門里,4776,753,4714,716,4705,683,-71,-70
桃園市桃園區南華里,1025,169,1005,173,987,182,-38,13
桃園市桃園區玉山里,3838,646,3772,624,3688,604,-150,-42
桃園市桃園區中成里,3516,539,3833,659,4354,713,838,174
桃園市桃園區中正里,4322,784,4766,906,5124,991,802,207
桃園市桃園區北門里,1255,195,1243,188,1241,200,-14,5
桃園市桃園區雲林里,5096,1065,5086,1028,5037,990,-59,-75
桃園市桃園區福林里,4756,1132,4755,1147,4731,1151,-25,19
桃園市桃園區光興里,3776,869,3620,834,3517,790,-259,-79
桃園市桃園區龍山里,2789,393,2741,382,2644,370,-145,-23
桃園市桃園區龍岡里,5006,904,4975,895,4914,823,-92,-81
桃園市桃園區成功里,3031,560,2971,546,2905,567,-126,7
桃園市桃園區青溪里,3437,744,3377,803,3294,816,-143,72
桃園市桃園區朝陽里,1520,244,1492,239,1460,226,-60,-18
桃園市桃園區中興里,4311,918,4375,908,4461,928,150,10
桃園市桃園區豐林里,4956,874,4879,838,4796,808,-160,-66
桃園市桃園區建國里,4054,655,3957,662,3845,663,-209,8
桃園市桃園區大豐里,4185,761,4073,751,3931,714,-254,-47
桃園市桃園區福安里,3339,783,3268,740,3203,721,-136,-62
桃園市桃園區三民里,3365,820,3260,761,3158,790,-207,-30
桃園市桃園區大興里,4556,721,4488,703,4376,628,-180,-93
桃園市桃園區春日里,5229,955,5189,932,5081,861,-148,-94
桃園市桃園區信光里,5958,1323,5850,1306,5849,1302,-109,-21
桃園市桃園區中寧里,5276,1313,5280,1347,5258,1328,-18,15
桃園市桃園區同安里,7513,1511,7756,1570,8030,1698,517,187
桃園市桃園區莊敬里,7473,1331,7432,1298,7355,1285,-118,-46
桃園市桃園區文中里,2023,339,2408,412,3051,623,1028,284
桃園市桃園區泰山里,3009,462,2925,450,2832,422,-177,-40
桃園市桃園區中路里,3246,518,3206,509,3118,472,-128,-46
桃園市桃園區中德里,5593,1168,5467,1141,5367,1073,-226,-95
桃園市桃園區龍祥里,4296,899,4249,879,4197,838,-99,-61
桃園市桃園區大有里,5302,1151,5477,1192,5592,1227,290,76
桃園市桃園區寶山里,7438,1300,7375,1252,7341,1222,-97,-78
桃園市桃園區龍鳳里,8232,1097,8373,1101,8347,1057,115,-40
桃園市桃園區龍安里,4727,947,4778,936,4774,906,47,-41
桃園市桃園區自強里,6420,1096,6378,1071,6210,1034,-210,-62
桃園市桃園區中信里,4814,914,4639,905,4558,862,-256,-52
桃園市桃園區長德里,3985,808,3956,796,3933,827,-52,19
桃園市桃園區中平里,3851,652,3783,634,3685,638,-166,-14
桃園市桃園區中原里,4121,786,4083,757,4014,727,-107,-59
桃園市桃園區中泰里,3749,644,3686,609,3649,601,-100,-43
桃園市桃園區南埔里,4241,959,4197,975,4192,989,-49,30
桃園市桃園區寶慶里,5508,1269,5555,1247,5559,1191,51,-78
桃園市桃園區北埔里,4206,810,4255,799,4232,782,26,-28
桃園市桃園區中聖里,4747,931,4740,887,4684,874,-63,-57
桃園市桃園區龍壽里,5268,1060,5679,1136,5822,1125,554,65
桃園市桃園區同德里,5511,1373,5550,1332,5502,1258,-9,-115
桃園市桃園區明德里,2696,526,2676,512,2618,507,-78,-19
桃園市桃園區寶安里,7509,1506,7488,1465,7392,1363,-117,-143
桃園市桃園區瑞慶里,5309,1193,5306,1201,5244,1130,-65,-63
桃園市桃園區三元里,2956,559,3154,581,3129,571,173,12
桃園市桃園區大樹里,3285,747,3297,743,3205,719,-80,-28
桃園市桃園區大業里,4354,1015,4328,997,4259,932,-95,-83
桃園市桃園區福元里,3969,1042,4026,992,4131,955,162,-87
桃園市中壢區龍平里,2273,418,2255,398,2240,374,-33,-44
桃園市中壢區龍昌里,4457,681,4389,692,4323,633,-134,-48
桃園市中壢區仁德里,2492,494,2493,472,2481,445,-11,-49
桃園市中壢區永興里,689,86,671,82,642,80,-47,-6
桃園市中壢區內壢里,1592,265,1581,266,1586,278,-6,13
桃園市中壢區成功里,3792,661,3739,651,3737,673,-55,12
桃園市中壢區光明里,4316,810,4246,771,4148,722,-168,-88
桃園市中壢區自立里,3931,586,3892,562,3839,565,-92,-21
桃園市中壢區自強里,2995,471,2966,464,2917,436,-78,-35
桃園市中壢區中堅里,3311,683,3306,651,3289,590,-22,-93
桃園市中壢區龍興里,3477,572,3390,558,3353,514,-124,-58
桃園市中壢區仁美里,4559,994,4682,1039,4637,1019,78,25
桃園市中壢區仁愛里,2496,347,2496,335,2420,348,-76,1
桃園市中壢區新街里,1614,225,1672,240,1735,242,121,17
桃園市中壢區中央里,2651,428,2603,410,2478,392,-173,-36
桃園市中壢區普仁里,3545,1076,3509,1049,3464,995,-81,-81
桃園市中壢區普義里,4560,737,4509,740,4530,705,-30,-32
桃園市中壢區忠義里,3142,723,3248,763,3307,729,165,6
桃園市中壢區中正里,4439,770,4535,790,4508,775,69,5
