cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
屏東縣屏東市光榮里,597,102,583,104,605,118,8,16
屏東縣屏東市文明里,192,20,192,20,193,22,1,2
屏東縣屏東市武廟里,190,18,182,16,171,18,-19,0
屏東縣屏東市大同里,443,40,431,38,408,42,-35,2
屏東縣屏東市泰安里,347,45,325,47,323,54,-24,9
屏東縣屏東市端正里,171,16,161,17,167,17,-4,1
屏東縣屏東市民權里,438,47,429,47,421,61,-17,14
屏東縣屏東市大埔里,566,65,552,63,539,64,-27,-1
屏東縣屏東市必信里,455,48,455,46,441,49,-14,1
屏東縣屏東市崇智里,323,41,311,34,297,34,-26,-7
屏東縣屏東市崇禮里,200,36,195,35,187,31,-13,-5
屏東縣屏東市維新里,2165,223,2125,222,2078,215,-87,-8
屏東縣屏東市安樂里,354,28,330,25,319,21,-35,-7
屏東縣屏東市平和里,509,28,501,25,483,28,-26,0
屏東縣屏東市楠樹里,311,29,295,29,278,22,-33,-7
屏東縣屏東市扶風里,444,36,425,40,409,36,-35,0
屏東縣屏東市慶春里,221,23,216,22,202,23,-19,0
屏東縣屏東市金泉里,496,50,477,48,460,61,-36,11
屏東縣屏東市勝豐里,307,28,305,26,287,28,-20,0
屏東縣屏東市橋南里,1320,159,1306,154,1272,147,-48,-12
屏東縣屏東市橋北里,693,62,655,60,655,64,-38,2
屏東縣屏東市長春里,1577,343,1543,351,1510,351,-67,8
屏東縣屏東市豐榮里,2041,257,2004,245,1934,226,-107,-31
屏東縣屏東市豐源里,2875,651,2869,636,2768,638,-107,-13
屏東縣屏東市豐田里,3430,615,3331,619,3231,616,-199,1
屏東縣屏東市大連里,7976,1133,7782,1126,7542,1102,-434,-31
屏東縣屏東市湖西里,1307,131,1284,132,1245,135,-62,4
屏東縣屏東市湖南里,864,124,851,116,841,116,-23,-8
屏東縣屏東市歸心里,956,80,924,92,926,84,-30,4
屏東縣屏東市瑞光里,6121,858,6055,851,6006,856,-115,-2
屏東縣屏東市新生里,4802,536,4763,579,4691,549,-111,13
