cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
新北市板橋區留侯里,1155,193,1161,203,1145,222,-10,29
新北市板橋區流芳里,1053,201,1022,207,980,213,-73,12
新北市板橋區赤松里,570,114,626,125,680,140,110,26
新北市板橋區黃石里,727,187,806,214,827,217,100,30
新北市板橋區挹秀里,1284,242,1302,238,1301,289,17,47
新北市板橋區湳興里,3994,574,3908,566,3774,537,-220,-37
新北市板橋區新興里,2403,295,2384,286,2334,280,-69,-15
新北市板橋區社後里,7023,536,7034,564,7213,556,190,20
新北市板橋區香社里,3263,425,3195,411,3187,383,-76,-42
新北市板橋區中正里,3296,505,3392,552,3824,617,528,112
新北市板橋區自強里,3521,614,3456,615,3337,605,-184,-9
新北市板橋區自立里,2071,264,2043,270,2001,262,-70,-2
新北市板橋區光華里,2015,282,1983,285,1932,254,-83,-28
新北市板橋區國光里,2750,260,2685,252,2641,248,-109,-12
新北市板橋區港尾里,2236,366,2190,365,2155,362,-81,-4
新北市板橋區金華里,2970,454,2907,483,2821,459,-149,5
新北市板橋區港德里,3483,468,3393,466,3286,449,-197,-19
新北市板橋區民權里,1883,254,1804,257,1761,249,-122,-5
新北市板橋區建國里,2621,353,2546,345,2490,345,-131,-8
新北市板橋區漢生里,2907,572,2847,609,2773,630,-134,58
新北市板橋區公舘里,2801,466,2762,450,2743,483,-58,17
新北市板橋區新民里,3120,654,3084,685,2998,691,-122,37
新北市板橋區幸福里,2926,414,2876,403,2858,394,-68,-20
新北市板橋區忠誠里,2966,464,2943,532,2932,553,-34,89
新北市板橋區百壽里,1932,430,1948,465,1969,506,37,76
新北市板橋區介壽里,2180,432,2136,456,2087,473,-93,41
新北市板橋區新埔里,1541,185,1523,182,1494,175,-47,-10
新北市板橋區華江里,5522,1315,5483,1343,5407,1327,-115,12
新北市板橋區江翠里,3739,470,3768,465,3830,500,91,30
新北市板橋區純翠里,4123,607,4054,581,3962,567,-161,-40
新北市板橋區溪頭里,4531,652,4423,641,4609,641,78,-11
新北市板橋區聯翠里,2780,330,2817,330,2784,285,4,-45
新北市板橋區宏翠里,3829,518,4010,558,4112,573,283,55
