cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
澎湖縣馬公市復興里,424,26,429,28,414,28,-10,2
澎湖縣馬公市長安里,418,56,412,60,397,69,-21,13
澎湖縣馬公市中央里,402,30,405,35,383,35,-19,5
澎湖縣馬公市啟明里,697,68,660,63,647,65,-50,-3
澎湖縣馬公市重慶里,749,94,697,101,660,91,-89,-3
澎湖縣馬公市中興里,666,61,667,55,668,64,2,3
澎湖縣馬公市光復里,1558,215,1531,209,1503,191,-55,-24
澎湖縣馬公市光榮里,3473,374,3460,385,3415,373,-58,-1
澎湖縣馬公市光明里,953,124,955,131,928,123,-25,-1
澎湖縣馬公市朝陽里,4509,616,4413,577,4304,561,-205,-55
澎湖縣馬公市陽明里,2013,263,1944,251,1944,233,-69,-30
澎湖縣馬公市重光里,1317,128,1265,130,1267,125,-50,-3
澎湖縣馬公市西衛里,5699,558,5717,550,5754,575,55,17
澎湖縣馬公市西文里,2784,543,2809,568,2835,603,51,60
澎湖縣馬公市東文里,2984,573,2974,596,3011,604,27,31
澎湖縣馬公市案山里,1632,131,1585,139,1587,139,-45,8
澎湖縣馬公市光華里,884,146,964,170,974,179,90,33
澎湖縣馬公市前寮里,842,118,856,119,830,141,-12,23
澎湖縣馬公市石泉里,2406,328,2429,343,2414,364,8,36
澎湖縣馬公市菜園里,350,37,357,34,355,34,5,-3
澎湖縣馬公市東衛里,1854,220,1872,196,1883,196,29,-24
澎湖縣馬公市安宅里,524,51,534,58,527,48,3,-3
澎湖縣馬公市烏崁里,797,103,808,97,823,94,26,-9
澎湖縣馬公市興仁里,966,112,1037,124,1100,124,134,12
澎湖縣馬公市鐵線里,531,71,544,66,569,71,38,0
澎湖縣馬公市山水里,1424,169,1390,152,1393,153,-31,-16
澎湖縣馬公市鎖港里,2109,265,2096,260,2122,244,13,-21
澎湖縣馬公市五德里,332,19,393,25,389,27,57,8
澎湖縣馬公市井垵里,314,52,312,43,314,40,0,-12
澎湖縣馬公市󼱹裡里,974,131,956,118,944,115,-30,-16
澎湖縣馬公市風櫃里,1200,162,1178,150,1133,149,-67,-13
澎湖縣馬公市虎井里,577,66,580,56,611,52,34,-14
澎湖縣馬公市桶盤里,266,70,274,68,278,67,12,-3
澎湖縣湖西鄉湖西村,949,104,971,108,984,106,35,2
澎湖縣湖西鄉湖東村,287,28,286,36,278,35,-9,7
澎湖縣湖西鄉青螺村,194,17,184,17,192,17,-2,0
澎湖縣湖西鄉白坑村,233,20,235,25,228,29,-5,9
澎湖縣湖西鄉南寮村,516,57,518,68,527,64,11,7
澎湖縣湖西鄉北寮村,278,33,270,37,270,38,-8,5
澎湖縣湖西鄉紅羅村,601,70,610,71,605,59,4,-11
澎湖縣湖西鄉西溪村,636,54,717,56,713,61,77,7
澎湖縣湖西鄉成功村,679,56,710,65,746,73,67,17
澎湖縣湖西鄉東石村,98,5,85,4,87,6,-11,1
澎湖縣湖西鄉中西村,174,15,166,13,167,10,-7,-5
澎湖縣湖西鄉潭邊村,253,29,250,21,250,22,-3,-7
澎湖縣湖西鄉鼎灣村,572,32,579,29,570,30,-2,-2
澎湖縣湖西鄉許家村,274,22,305,28,330,37,56,15
澎湖縣湖西鄉沙港村,599,64,611,56,613,49,14,-15
澎湖縣湖西鄉城北村,217,23,262,23,289,35,72,12
澎湖縣湖西鄉太武村,57,8,56,4,62,6,5,-2
澎湖縣湖西鄉隘門村,730,88,768,80,794,88,64,0
澎湖縣湖西鄉林投村,812,117,822,120,835,107,23,-10
澎湖縣湖西鄉尖山村,533,81,543,89,544,85,11,4
澎湖縣湖西鄉龍門村,1432,188,1433,179,1414,173,-18,-15
澎湖縣湖西鄉菓葉村,594,52,608,46,611,49,17,-3
澎湖縣白沙鄉中屯村,427,71,426,69,426,62,-1,-9
澎湖縣白沙鄉講美村,566,61,563,71,564,67,-2,6
澎湖縣白沙鄉城前村,86,11,82,13,82,14,-4,3
澎湖縣白沙鄉鎮海村,124,12,119,13,116,14,-8,2
澎湖縣白沙鄉港子村,240,19,240,18,232,22,-8,3
澎湖縣白沙鄉岐頭村,182,9,178,8,167,12,-15,3
澎湖縣白沙鄉小赤村,132,22,135,21,137,17,5,-5
澎湖縣白沙鄉赤崁村,1470,178,1457,188,1458,191,-12,13
澎湖縣白沙鄉瓦硐村,214,15,221,16,224,11,10,-4
澎湖縣白沙鄉後寮村,556,56,540,60,557,58,1,2
澎湖縣白沙鄉通梁村,613,76,616,75,603,67,-10,-9
澎湖縣白沙鄉吉貝村,1190,140,1178,136,1160,134,-30,-6
澎湖縣白沙鄉鳥嶼村,896,119,905,132,917,117,21,-2
澎湖縣白沙鄉員貝村,201,18,189,20,207,23,6,5
澎湖縣白沙鄉大倉村,212,17,209,16,215,15,3,-2
澎湖縣西嶼鄉橫礁村,238,45,235,44,243,41,5,-4
澎湖縣西嶼鄉合界村,341,28,336,37,332,34,-9,6
澎湖縣西嶼鄉小門村,217,35,215,29,208,21,-9,-14
澎湖縣西嶼鄉竹灣村,658,53,649,45,640,55,-18,2
澎湖縣西嶼鄉大池村,529,52,521,52,512,50,-17,-2
澎湖縣西嶼鄉二崁村,109,9,103,10,100,9,-9,0
澎湖縣西嶼鄉池東村,496,46,490,41,492,41,-4,-5
澎湖縣西嶼鄉池西村,144,9,145,7,145,6,1,-3
澎湖縣西嶼鄉赤馬村,427,38,425,46,419,49,-8,11
澎湖縣西嶼鄉內垵村,957,123,949,128,949,129,-8,6
澎湖縣西嶼鄉外垵村,1697,218,1666,222,1641,222,-56,4
澎湖縣望安鄉東安村,629,34,610,31,626,39,-3,5
澎湖縣望安鄉西安村,364,38,358,28,367,28,3,-10
澎湖縣望安鄉中社村,213,11,216,15,232,16,19,5
澎湖縣望安鄉水垵村,297,14,303,18,318,16,21,2
澎湖縣望安鄉將軍村,1157,141,1126,138,1129,139,-28,-2
澎湖縣望安鄉東坪村,465,87,460,79,489,82,24,-5
澎湖縣望安鄉西坪村,179,35,177,38,177,35,-2,0
澎湖縣望安鄉東吉村,167,5,167,8,171,8,4,3
澎湖縣望安鄉花嶼村,270,41,269,41,267,41,-3,0
澎湖縣七美鄉東湖村,188,13,192,16,195,15,7,2
澎湖縣七美鄉西湖村,468,65,458,71,463,71,-5,6
澎湖縣七美鄉中和村,528,62,546,60,558,65,30,3
澎湖縣七美鄉平和村,316,20,302,21,308,23,-8,3
澎湖縣七美鄉海豐村,276,23,283,26,283,30,7,7
澎湖縣七美鄉南港村,1013,150,993,132,990,128,-23,-22
