cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
基隆市中正區德義里,458,62,446,63,428,65,-30,3
基隆市中正區正義里,810,66,795,68,763,84,-47,18
基隆市中正區信義里,609,52,584,54,559,55,-50,3
基隆市中正區義重里,718,68,709,77,677,65,-41,-3
基隆市中正區港通里,822,86,783,76,769,80,-53,-6
基隆市中正區中船里,867,102,849,95,812,98,-55,-4
基隆市中正區正船里,865,92,843,84,812,76,-53,-16
基隆市中正區入船里,543,75,518,57,481,53,-62,-22
基隆市中正區中砂里,1127,89,1119,91,1118,94,-9,5
基隆市中正區正砂里,1692,164,1629,155,1592,142,-100,-22
基隆市中正區真砂里,940,81,917,92,890,89,-50,8
基隆市中正區砂灣里,1431,136,1395,118,1406,127,-25,-9
基隆市中正區建國里,1386,190,1342,197,1319,194,-67,4
基隆市中正區中濱里,920,84,891,80,851,72,-69,-12
基隆市中正區海濱里,870,92,845,94,815,88,-55,-4
基隆市中正區社寮里,1276,157,1223,149,1181,137,-95,-20
基隆市中正區和憲里,736,98,719,97,694,82,-42,-16
基隆市中正區平寮里,899,83,858,87,820,86,-79,3
基隆市中正區八斗里,1080,124,1033,111,1012,112,-68,-12
基隆市中正區碧砂里,980,82,944,76,900,78,-80,-4
基隆市中正區長潭里,315,31,309,30,306,33,-9,2
基隆市中正區砂子里,4382,566,4497,598,4528,573,146,7
基隆市中正區中正里,1178,79,1129,74,1103,88,-75,9
基隆市中正區正濱里,688,39,655,37,620,32,-68,-7
基隆市中正區新豐里,4763,648,4759,632,4744,637,-19,-11
基隆市中正區新富里,4322,462,4273,439,4212,431,-110,-31
基隆市七堵區長興里,2830,393,2761,393,2740,388,-90,-5
基隆市七堵區正光里,1818,314,1782,309,1789,298,-29,-16
基隆市七堵區富民里,2666,384,2576,379,2504,369,-162,-15
基隆市七堵區永平里,1328,209,1310,208,1290,200,-38,-9
基隆市七堵區永安里,1664,225,1642,236,1636,231,-28,6
基隆市七堵區八德里,1165,183,1132,177,1095,174,-70,-9
基隆市七堵區自強里,849,122,872,135,856,145,7,23
基隆市七堵區六堵里,1882,168,1870,170,1819,169,-63,1
基隆市七堵區泰安里,3544,410,3510,414,3455,398,-89,-12
基隆市七堵區堵北里,2862,442,2915,442,2882,419,20,-23
基隆市七堵區堵南里,1703,203,1638,188,1631,170,-72,-33
基隆市七堵區瑪南里,309,41,299,34,286,33,-23,-8
基隆市七堵區瑪東里,218,8,215,8,203,9,-15,1
基隆市七堵區瑪西里,267,14,259,10,247,14,-20,0
基隆市七堵區友一里,1455,106,1447,109,1443,112,-12,6
基隆市七堵區友二里,297,26,282,23,276,21,-21,-5
基隆市七堵區正明里,1418,247,1390,244,1345,227,-73,-20
