cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
雲林縣斗六市忠孝里,1007,233,987,235,966,229,-41,-4
雲林縣斗六市仁愛里,764,182,746,198,734,192,-30,10
雲林縣斗六市信義里,437,61,423,65,401,60,-36,-1
雲林縣斗六市四維里,414,69,412,65,410,66,-4,-3
雲林縣斗六市太平里,589,192,570,167,558,160,-31,-32
雲林縣斗六市中和里,577,70,570,88,558,79,-19,9
雲林縣斗六市光興里,503,81,486,70,456,66,-47,-15
雲林縣斗六市三平里,4000,856,4024,859,4036,853,36,-3
雲林縣斗六市八德里,2695,367,2607,330,2547,324,-148,-43
雲林縣斗六市鎮北里,2254,347,2179,339,2132,353,-122,6
雲林縣斗六市龍潭里,1541,223,1543,212,1513,199,-28,-24
雲林縣斗六市鎮南里,2750,486,2669,503,2613,511,-137,25
雲林縣斗六市林頭里,3491,461,3447,467,3386,454,-105,-7
雲林縣斗六市重光里,1853,225,1810,232,1805,229,-48,4
雲林縣斗六市溝埧里,504,67,498,79,491,79,-13,12
雲林縣斗六市江厝里,1855,268,1827,253,1768,232,-87,-36
雲林縣斗六市三光里,373,47,357,43,352,42,-21,-5
雲林縣斗六市崙峯里,1960,292,1958,291,1985,286,25,-6
雲林縣斗六市嘉東里,1241,230,1261,219,1254,211,13,-19
雲林縣斗六市久安里,1914,249,1874,230,1878,213,-36,-36
雲林縣斗六市長平里,1386,153,1381,163,1420,187,34,34
雲林縣斗六市保庄里,4545,757,4591,750,4513,721,-32,-36
雲林縣斗六市虎溪里,4414,707,4366,691,2683,400,-1731,-307
雲林縣斗六市梅林里,1453,178,1433,166,1432,160,-21,-18
雲林縣斗六市湖山里,776,60,770,60,761,61,-15,1
雲林縣斗六市榴中里,3698,518,3633,526,3589,532,-109,14
雲林縣斗六市榴北里,886,115,879,106,858,107,-28,-8
雲林縣斗六市榴南里,1749,291,1801,275,1828,291,79,0
雲林縣斗六市溪洲里,2632,401,2625,400,2609,366,-23,-35
雲林縣斗六市長安里,2342,383,2303,370,2350,383,8,0
雲林縣斗六市十三里,860,110,818,97,805,104,-55,-6
雲林縣斗六市鎮東里,1872,358,1833,384,1825,379,-47,21
雲林縣斗六市鎮西里,2955,484,2950,523,2914,527,-41,43
