cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
南投縣南投市龍泉里,767,96,748,89,733,94,-34,-2
南投縣南投市康壽里,1150,200,1120,208,1083,214,-67,14
南投縣南投市三民里,664,103,646,124,630,130,-34,27
南投縣南投市仁和里,391,59,383,55,366,39,-25,-20
南投縣南投市南投里,439,60,418,62,427,61,-12,1
南投縣南投市彰仁里,281,45,272,42,261,43,-20,-2
南投縣南投市崇文里,762,117,744,123,742,131,-20,14
南投縣南投市漳興里,2232,287,2186,256,2139,240,-93,-47
南投縣南投市漳和里,6117,794,6058,814,5999,806,-118,12
南投縣南投市軍功里,4030,691,4011,650,4000,685,-30,-6
南投縣南投市東山里,307,38,293,39,281,33,-26,-5
南投縣南投市平和里,5069,684,5045,667,4995,694,-74,10
南投縣南投市振興里,1689,232,1685,233,1630,233,-59,1
南投縣南投市千秋里,827,112,839,116,837,82,10,-30
南投縣南投市三興里,4827,758,4787,775,4674,769,-153,11
南投縣南投市三和里,2195,376,2153,352,2090,333,-105,-43
南投縣南投市嘉興里,1827,197,1819,194,1796,198,-31,1
南投縣南投市嘉和里,3886,470,3901,527,3839,543,-47,73
南投縣南投市福山里,1640,157,1618,162,1570,158,-70,1
南投縣南投市永興里,652,66,641,58,628,67,-24,1
南投縣南投市鳳鳴里,490,31,469,31,455,27,-35,-4
南投縣南投市鳳山里,837,65,827,60,814,51,-23,-14
南投縣南投市平山里,4806,566,4726,585,4706,584,-100,18
南投縣南投市新興里,4500,648,4510,632,4495,615,-5,-33
南投縣南投市永豐里,2524,260,2492,252,2452,250,-72,-10
南投縣南投市福興里,2607,304,2611,312,2556,286,-51,-18
南投縣南投市營北里,4927,917,4866,917,4769,955,-158,38
南投縣南投市營南里,2025,200,2030,208,2036,209,11,9
南投縣南投市內興里,5851,862,5820,884,5711,939,-140,77
南投縣南投市內新里,1209,164,1198,164,1180,152,-29,-12
南投縣南投市光華里,452,108,441,93,411,92,-41,-16
南投縣南投市光榮里,636,67,603,61,583,77,-53,10
南投縣南投市光明里,530,64,526,61,490,48,-40,-16
南投縣南投市光輝里,437,106,415,97,410,94,-27,-12
南投縣埔里鎮東門里,2038,264,1978,247,1929,248,-109,-16
南投縣埔里鎮南門里,577,37,570,40,532,32,-45,-5
南投縣埔里鎮西門里,2520,397,2465,390,2393,387,-127,-10
南投縣埔里鎮北門里,2033,272,2017,269,1980,272,-53,0
南投縣埔里鎮同聲里,1843,250,1811,228,1746,223,-97,-27
南投縣埔里鎮薰化里,773,69,766,58,749,50,-24,-19
南投縣埔里鎮清新里,3147,319,3096,338,3036,346,-111,27
南投縣埔里鎮大城里,4852,497,4811,516,4747,531,-105,34
南投縣埔里鎮籃城里,762,74,775,73,754,76,-8,2
南投縣埔里鎮枇杷里,6645,1013,6580,963,6540,932,-105,-81
南投縣埔里鎮水頭里,3345,451,3320,445,3256,439,-89,-12
南投縣埔里鎮麒麟里,846,77,820,74,796,79,-50,2
南投縣埔里鎮珠格里,934,163,915,179,913,182,-21,19
南投縣埔里鎮溪南里,994,167,983,160,948,161,-46,-6
南投縣埔里鎮桃米里,838,67,818,70,798,66,-40,-1
南投縣埔里鎮成功里,209,10,204,9,202,9,-7,-1
南投縣埔里鎮南村里,1159,173,1151,174,1126,171,-33,-2
南投縣埔里鎮愛蘭里,1225,193,1197,176,1164,171,-61,-22
南投縣埔里鎮鐵山里,1500,234,1493,232,1476,217,-24,-17
南投縣埔里鎮房里里,1162,192,1172,189,1143,168,-19,-24
南投縣埔里鎮向善里,528,48,527,46,515,49,-13,1
南投縣埔里鎮一新里,802,48,794,45,760,36,-42,-12
南投縣埔里鎮廣成里,901,73,876,73,851,66,-50,-7
南投縣埔里鎮史港里,459,37,441,40,428,36,-31,-1
南投縣埔里鎮福興里,791,84,759,80,738,75,-53,-9
南投縣埔里鎮牛眠里,2363,240,2296,241,2291,253,-72,13
南投縣埔里鎮大湳里,1437,154,1428,148,1436,145,-1,-9
南投縣埔里鎮蜈蚣里,2144,226,2124,209,2096,189,-48,-37
南投縣埔里鎮合成里,1344,177,1311,161,1302,170,-42,-7
南投縣埔里鎮北安里,2789,380,2713,355,2623,369,-166,-11
南投縣埔里鎮杷城里,2296,353,2242,343,2204,343,-92,-10
南投縣埔里鎮北梅里,2776,415,2758,404,2728,396,-48,-19
南投縣埔里鎮泰安里,1822,208,1766,197,1707,181,-115,-27
南投縣草屯鎮玉峰里,1757,283,1705,286,1677,301,-80,18
南投縣草屯鎮炎峰里,1638,289,1623,290,1590,282,-48,-7
南投縣草屯鎮和平里,858,172,838,169,807,165,-51,-7
南投縣草屯鎮敦和里,5546,828,5521,875,5414,891,-132,63
南投縣草屯鎮山腳里,6563,712,6405,745,6396,772,-167,60
南投縣草屯鎮富寮里,5851,899,5975,945,5954,930,103,31
南投縣草屯鎮御史里,5203,624,5211,636,5175,620,-28,-4
南投縣草屯鎮新豐里,3458,406,3446,435,3358,455,-100,49
南投縣草屯鎮碧峰里,3960,515,3950,523,3972,518,12,3
南投縣草屯鎮碧洲里,2112,221,2116,234,2117,221,5,0
南投縣草屯鎮復興里,2470,248,2441,255,2376,250,-94,2
南投縣草屯鎮上林里,2728,268,2691,291,2623,296,-105,28
南投縣草屯鎮新庄里,3051,298,3140,317,3135,311,84,13
南投縣草屯鎮北投里,2571,323,2560,332,2553,343,-18,20
南投縣草屯鎮石川里,1289,144,1264,133,1251,140,-38,-4
南投縣草屯鎮加老里,1914,204,1876,214,1848,198,-66,-6
南投縣草屯鎮北勢里,1536,152,1503,139,1462,138,-74,-14
南投縣草屯鎮中原里,1694,178,1689,171,1652,158,-42,-20
南投縣草屯鎮南埔里,3510,441,3479,449,3409,411,-101,-30
南投縣草屯鎮土城里,1401,121,1373,111,1352,109,-49,-12
南投縣草屯鎮坪頂里,829,77,823,74,813,73,-16,-4
南投縣草屯鎮雙冬里,1855,204,1823,208,1795,176,-60,-28
南投縣草屯鎮平林里,887,99,859,108,846,97,-41,-2
南投縣草屯鎮中正里,553,53,519,54,503,65,-50,12
南投縣草屯鎮中山里,1874,382,1885,358,1864,366,-10,-16
南投縣草屯鎮明正里,3200,461,3135,475,3066,496,-134,35
南投縣草屯鎮新厝里,2660,508,2655,519,2652,530,-8,22
南投縣竹山鎮竹山里,1564,188,1529,183,1497,168,-67,-20
南投縣竹山鎮中正里,498,40,490,37,465,33,-33,-7
南投縣竹山鎮中山里,3701,530,3667,532,3662,559,-39,29
