cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
連江縣南竿鄉介壽村,1781,277,1761,295,1751,293,-30,16
連江縣南竿鄉復興村,921,152,865,143,845,127,-76,-25
連江縣南竿鄉福沃村,731,78,690,84,643,78,-88,0
連江縣南竿鄉清水村,870,165,893,160,887,150,17,-15
連江縣南竿鄉仁愛村,422,71,411,67,490,69,68,-2
連江縣南竿鄉津沙村,333,25,337,30,329,30,-4,5
連江縣南竿鄉馬祖村,469,46,446,44,427,51,-42,5
連江縣南竿鄉珠螺村,199,15,193,18,235,18,36,3
連江縣南竿鄉四維村,123,20,115,19,111,21,-12,1
連江縣北竿鄉塘岐村,914,103,957,103,939,102,25,-1
連江縣北竿鄉后沃村,149,17,148,20,172,21,23,4
連江縣北竿鄉橋仔村,310,38,309,39,313,39,3,1
連江縣北竿鄉芹壁村,168,15,168,16,279,12,111,-3
連江縣北竿鄉坂里村,242,31,293,38,313,39,71,8
連江縣北竿鄉白沙村,108,12,103,11,109,7,1,-5
連江縣莒光鄉青帆村,377,36,354,31,341,25,-36,-11
連江縣莒光鄉田沃村,167,22,160,25,165,21,-2,-1
連江縣莒光鄉西坵村,50,1,44,1,68,3,18,2
連江縣莒光鄉福正村,213,23,199,16,178,13,-35,-10
連江縣莒光鄉大坪村,445,32,423,29,404,25,-41,-7
連江縣東引鄉中柳村,494,84,481,84,481,80,-13,-4
連江縣東引鄉樂華村,565,81,562,75,678,65,113,-16
