cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
臺東縣臺東市富岡里,1225,114,1192,100,1151,100,-74,-14
臺東縣臺東市富豐里,720,91,732,94,734,91,14,0
臺東縣臺東市岩灣里,1903,132,1934,131,1957,123,54,-9
臺東縣臺東市南王里,2343,212,2353,214,2361,212,18,0
臺東縣臺東市卑南里,2440,204,2425,195,2452,181,12,-23
臺東縣臺東市南榮里,2268,247,2245,259,2257,272,-11,25
臺東縣臺東市新生里,5713,578,5663,585,5579,574,-134,-4
臺東縣臺東市民生里,2570,281,2510,266,2428,257,-142,-24
臺東縣臺東市寶桑里,724,113,703,87,674,88,-50,-25
臺東縣臺東市馬蘭里,2298,816,2193,778,2126,775,-172,-41
臺東縣臺東市中心里,2646,774,2627,833,2618,829,-28,55
臺東縣臺東市自強里,3450,943,3420,954,3349,987,-101,44
臺東縣臺東市民族里,1253,722,1219,732,1169,735,-84,13
臺東縣臺東市四維里,542,99,546,95,527,81,-15,-18
臺東縣臺東市中華里,1394,163,1389,167,1329,153,-65,-10
臺東縣臺東市強國里,527,58,508,55,501,54,-26,-4
臺東縣臺東市建國里,1042,84,1007,88,956,103,-86,19
臺東縣臺東市民權里,734,103,704,95,664,92,-70,-11
臺東縣臺東市仁愛里,567,43,562,47,537,48,-30,5
臺東縣臺東市中正里,600,26,570,23,549,17,-51,-9
臺東縣臺東市大同里,612,61,594,57,597,66,-15,5
臺東縣臺東市成功里,644,60,627,64,632,74,-12,14
臺東縣臺東市文化里,781,416,748,419,772,421,-9,5
臺東縣臺東市中山里,578,206,564,208,540,216,-38,10
臺東縣臺東市復國里,496,44,488,47,466,35,-30,-9
臺東縣臺東市興國里,622,240,597,234,569,232,-53,-8
臺東縣臺東市復興里,334,42,345,45,315,31,-19,-11
臺東縣臺東市鐵花里,320,18,305,16,288,13,-32,-5
臺東縣臺東市新園里,1397,132,1413,138,1395,132,-2,0
臺東縣臺東市豐田里,1740,256,1741,234,1840,248,100,-8
臺東縣臺東市豐年里,2666,298,2662,310,2647,287,-19,-11
臺東縣臺東市光明里,2405,520,2398,518,2392,472,-13,-48
臺東縣臺東市豐樂里,1288,208,1271,202,1251,203,-37,-5
臺東縣臺東市永樂里,1923,353,1917,344,1924,353,1,0
臺東縣臺東市康樂里,1171,168,1173,170,1153,173,-18,5
臺東縣臺東市東海里,2416,607,2347,585,2281,573,-135,-34
臺東縣臺東市新興里,813,83,774,71,756,86,-57,3
臺東縣臺東市豐榮里,7216,727,7182,708,7090,688,-126,-39
