year,male,female,total
2019,27896,27316,55212
2020,27895,27333,55228
2021,27883,27355,55238
2022,27868,27362,55230
2023,27839,27369,55208
2024,27804,27367,55171
2025,27777,27374,55151
2026,27738,27371,55109
2027,27692,27367,55059
2028,27637,27353,54990
2029,27572,27332,54904
2030,27491,27304,54795
2031,27398,27260,54658
2032,27291,27213,54504
2033,27180,27154,54334
2034,27056,27087,54143
2035,26944,27037,53981
2036,26822,26974,53796
2037,26685,26902,53587
2038,26544,26821,53365
2039,26390,26727,53117
2040,26227,26622,52849
2041,26050,26504,52554
2042,25865,26372,52237
2043,25671,26226,51897
2044,25468,26071,51539
2045,25278,25932,51210
2046,25077,25783,50860
2047,24863,25617,50480
2048,24640,25439,50079
2049,24415,25248,49663
2050,24181,25048,49229
2051,23936,24837,48773
2052,23686,24614,48300
2053,23436,24387,47823
2054,23180,24150,47330
2055,22937,23932,46869
2056,22687,23705,46392
2057,22433,23476,45909
2058,22176,23236,45412
2059,21913,22988,44901
2060,21648,22738,44386
2061,21377,22485,43862
2062,21107,22229,43336
2063,20839,21972,42811
2064,20569,21708,42277
2065,20314,21466,41780
