year,male,female,total
2019,15688,15052,30740
2020,15600,14993,30593
2021,15508,14935,30443
2022,15413,14869,30282
2023,15315,14801,30116
2024,15217,14730,29947
2025,15127,14670,29797
2026,15039,14603,29642
2027,14949,14533,29482
2028,14850,14456,29306
2029,14746,14378,29124
2030,14636,14295,28931
2031,14518,14206,28724
2032,14397,14112,28509
2033,14267,14012,28279
2034,14132,13912,28044
2035,14006,13823,27829
2036,13874,13726,27600
2037,13735,13624,27359
2038,13588,13513,27101
2039,13439,13397,26836
2040,13280,13275,26555
2041,13116,13148,26264
2042,12950,13017,25967
2043,12779,12885,25664
2044,12604,12749,25353
2045,12434,12624,25058
2046,12266,12496,24762
2047,12093,12360,24453
2048,11915,12219,24134
2049,11739,12071,23810
2050,11563,11925,23488
2051,11384,11769,23153
2052,11206,11615,22821
2053,11031,11462,22493
2054,10858,11312,22170
2055,10695,11172,21867
2056,10535,11026,21561
2057,10376,10882,21258
2058,10220,10736,20956
2059,10067,10592,20659
2060,9915,10450,20365
2061,9761,10303,20064
2062,9605,10153,19758
2063,9456,10006,19462
2064,9305,9856,19161
2065,9161,9713,18874
