year,male,female,total
2019,29381,27922,57303
2020,29393,27994,57387
2021,29395,28065,57460
2022,29391,28122,57513
2023,29374,28175,57549
2024,29350,28221,57571
2025,29333,28271,57604
2026,29312,28315,57627
2027,29283,28357,57640
2028,29244,28389,57633
2029,29195,28409,57604
2030,29137,28421,57558
2031,29067,28426,57493
2032,28987,28422,57409
2033,28900,28409,57309
2034,28798,28383,57181
2035,28712,28372,57084
2036,28611,28350,56961
2037,28496,28311,56807
2038,28372,28262,56634
2039,28236,28200,56436
2040,28091,28122,56213
2041,27931,28031,55962
2042,27763,27928,55691
2043,27580,27813,55393
2044,27387,27683,55070
2045,27207,27571,54778
2046,27010,27438,54448
2047,26801,27295,54096
2048,26575,27131,53706
2049,26334,26948,53282
2050,26086,26756,52842
2051,25825,26546,52371
2052,25557,26323,51880
2053,25282,26085,51367
2054,24996,25839,50835
2055,24726,25611,50337
2056,24444,25362,49806
2057,24158,25112,49270
2058,23866,24847,48713
2059,23572,24576,48148
2060,23270,24296,47566
2061,22962,24009,46971
2062,22652,23715,46367
2063,22342,23415,45757
2064,22025,23106,45131
2065,21726,22819,44545
