year,male,female,total
2019,25764,24316,50080
2020,25674,24257,49931
2021,25581,24198,49779
2022,25479,24127,49606
2023,25373,24051,49424
2024,25260,23974,49234
2025,25157,23909,49066
2026,25053,23839,48892
2027,24937,23760,48697
2028,24814,23675,48489
2029,24682,23583,48265
2030,24543,23483,48026
2031,24395,23380,47775
2032,24231,23269,47500
2033,24058,23149,47207
2034,23875,23022,46897
2035,23703,22914,46617
2036,23521,22796,46317
2037,23328,22668,45996
2038,23129,22533,45662
2039,22917,22386,45303
2040,22692,22231,44923
2041,22461,22063,44524
2042,22220,21893,44113
2043,21980,21713,43693
2044,21723,21524,43247
2045,21485,21354,42839
2046,21246,21175,42421
2047,20997,20989,41986
2048,20743,20797,41540
2049,20489,20596,41085
2050,20230,20392,40622
2051,19967,20184,40151
2052,19704,19972,39676
2053,19438,19757,39195
2054,19172,19540,38712
2055,18924,19339,38263
2056,18673,19139,37812
2057,18422,18934,37356
2058,18173,18719,36892
2059,17917,18506,36423
2060,17660,18286,35946
2061,17404,18061,35465
2062,17147,17831,34978
2063,16891,17598,34489
2064,16634,17366,34000
2065,16391,17145,33536
