year,male,female,total
2019,2870,2414,5284
2020,2857,2411,5268
2021,2837,2408,5245
2022,2818,2403,5221
2023,2800,2399,5199
2024,2781,2393,5174
2025,2764,2390,5154
2026,2746,2384,5130
2027,2726,2377,5103
2028,2707,2370,5077
2029,2686,2355,5041
2030,2663,2341,5004
2031,2639,2328,4967
2032,2613,2314,4927
2033,2585,2297,4882
2034,2558,2278,4836
2035,2534,2262,4796
2036,2507,2244,4751
2037,2474,2227,4701
2038,2444,2212,4656
2039,2416,2195,4611
2040,2384,2178,4562
2041,2351,2160,4511
2042,2316,2145,4461
2043,2280,2129,4409
2044,2245,2105,4350
2045,2214,2089,4303
2046,2179,2069,4248
2047,2146,2048,4194
2048,2114,2026,4140
2049,2080,2003,4083
2050,2045,1979,4024
2051,2010,1955,3965
2052,1975,1931,3906
2053,1941,1902,3843
2054,1907,1876,3783
2055,1875,1851,3726
2056,1841,1823,3664
2057,1808,1796,3604
2058,1776,1769,3545
2059,1743,1744,3487
2060,1710,1721,3431
2061,1677,1695,3372
2062,1644,1669,3313
2063,1612,1643,3255
2064,1582,1616,3198
2065,1553,1593,3146
