year,male,female,total
2019,2651,2046,4697
2020,2616,2029,4645
2021,2580,2011,4591
2022,2546,1993,4539
2023,2512,1977,4489
2024,2476,1957,4433
2025,2446,1940,4386
2026,2413,1921,4334
2027,2381,1901,4282
2028,2346,1882,4228
2029,2311,1860,4171
2030,2276,1836,4112
2031,2243,1813,4056
2032,2209,1791,4000
2033,2176,1767,3943
2034,2137,1744,3881
2035,2105,1724,3829
2036,2067,1704,3771
2037,2028,1683,3711
2038,1991,1659,3650
2039,1952,1634,3586
2040,1915,1610,3525
2041,1877,1584,3461
2042,1838,1559,3397
2043,1800,1534,3334
2044,1764,1509,3273
2045,1730,1486,3216
2046,1694,1462,3156
2047,1656,1436,3092
2048,1613,1412,3025
2049,1570,1390,2960
2050,1529,1367,2896
2051,1489,1342,2831
2052,1449,1316,2765
2053,1413,1292,2705
2054,1378,1268,2646
2055,1342,1246,2588
2056,1306,1220,2526
2057,1272,1194,2466
2058,1240,1170,2410
2059,1211,1146,2357
2060,1185,1121,2306
2061,1160,1096,2256
2062,1135,1072,2207
2063,1111,1050,2161
2064,1087,1028,2115
2065,1064,1009,2073
