year,male,female,total
2019,6835,5858,12693
2020,6805,5838,12643
2021,6771,5816,12587
2022,6736,5794,12530
2023,6696,5772,12468
2024,6656,5748,12404
2025,6621,5727,12348
2026,6582,5702,12284
2027,6539,5680,12219
2028,6493,5653,12146
2029,6445,5622,12067
2030,6396,5593,11989
2031,6342,5559,11901
2032,6286,5523,11809
2033,6228,5486,11714
2034,6168,5444,11612
2035,6112,5408,11520
2036,6048,5369,11417
2037,5984,5329,11313
2038,5920,5286,11206
2039,5850,5242,11092
2040,5776,5200,10976
2041,5702,5154,10856
2042,5628,5108,10736
2043,5550,5055,10605
2044,5469,5004,10473
2045,5392,4956,10348
2046,5314,4907,10221
2047,5235,4854,10089
2048,5153,4799,9952
2049,5068,4744,9812
2050,4983,4689,9672
2051,4895,4632,9527
2052,4808,4578,9386
2053,4726,4522,9248
2054,4645,4468,9113
2055,4570,4420,8990
2056,4495,4370,8865
2057,4418,4318,8736
2058,4342,4265,8607
2059,4268,4211,8479
2060,4195,4156,8351
2061,4126,4102,8228
2062,4058,4049,8107
2063,3988,3992,7980
2064,3919,3933,7852
2065,3852,3876,7728
