year,male,female,total
2019,35091,34528,69619
2020,35083,34607,69690
2021,35063,34676,69739
2022,35033,34731,69764
2023,34986,34778,69764
2024,34933,34809,69742
2025,34884,34847,69731
2026,34826,34879,69705
2027,34759,34898,69657
2028,34670,34902,69572
2029,34569,34889,69458
2030,34452,34861,69313
2031,34311,34810,69121
2032,34157,34735,68892
2033,33978,34643,68621
2034,33785,34525,68310
2035,33602,34417,68019
2036,33399,34295,67694
2037,33173,34152,67325
2038,32935,33981,66916
2039,32672,33787,66459
2040,32390,33572,65962
2041,32090,33337,65427
2042,31778,33089,64867
2043,31455,32824,64279
2044,31123,32542,63665
2045,30810,32283,63093
2046,30488,32010,62498
2047,30149,31724,61873
2048,29803,31418,61221
2049,29451,31104,60555
2050,29098,30779,59877
2051,28734,30441,59175
2052,28362,30091,58453
2053,27993,29743,57736
2054,27619,29391,57010
2055,27265,29061,56326
2056,26906,28726,55632
2057,26548,28387,54935
2058,26183,28037,54220
2059,25814,27686,53500
2060,25439,27326,52765
2061,25065,26960,52025
2062,24687,26587,51274
2063,24308,26212,50520
2064,23924,25840,49764
2065,23558,25486,49044
