year,male,female,total
2019,3929,3143,7072
2020,3875,3114,6989
2021,3824,3086,6910
2022,3774,3054,6828
2023,3723,3026,6749
2024,3674,2998,6672
2025,3630,2969,6599
2026,3582,2940,6522
2027,3536,2910,6446
2028,3489,2880,6369
2029,3440,2850,6290
2030,3390,2818,6208
2031,3337,2786,6123
2032,3281,2755,6036
2033,3225,2723,5948
2034,3171,2688,5859
2035,3119,2658,5777
2036,3070,2628,5698
2037,3020,2598,5618
2038,2967,2568,5535
2039,2912,2534,5446
2040,2852,2502,5354
2041,2792,2470,5262
2042,2733,2436,5169
2043,2674,2401,5075
2044,2613,2366,4979
2045,2560,2336,4896
2046,2504,2301,4805
2047,2449,2266,4715
2048,2391,2229,4620
2049,2334,2194,4528
2050,2273,2158,4431
2051,2216,2122,4338
2052,2163,2085,4248
2053,2113,2050,4163
2054,2060,2018,4078
2055,2012,1985,3997
2056,1964,1953,3917
2057,1914,1917,3831
2058,1867,1884,3751
2059,1821,1850,3671
2060,1779,1815,3594
2061,1735,1780,3515
2062,1693,1744,3437
2063,1651,1711,3362
2064,1608,1676,3284
2065,1571,1643,3214
