year,male,female,total
2019,26184,23064,49248
2020,26097,23045,49142
2021,26006,23026,49032
2022,25910,23006,48916
2023,25806,22983,48789
2024,25697,22954,48651
2025,25603,22940,48543
2026,25500,22919,48419
2027,25400,22892,48292
2028,25284,22862,48146
2029,25155,22818,47973
2030,25021,22766,47787
2031,24869,22707,47576
2032,24707,22636,47343
2033,24532,22558,47090
2034,24344,22469,46813
2035,24173,22399,46572
2036,23984,22314,46298
2037,23787,22218,46005
2038,23579,22111,45690
2039,23352,21993,45345
2040,23117,21872,44989
2041,22872,21734,44606
2042,22618,21588,44206
2043,22359,21437,43796
2044,22092,21279,43371
2045,21843,21135,42978
2046,21592,20980,42572
2047,21332,20818,42150
2048,21070,20650,41720
2049,20805,20474,41279
2050,20534,20289,40823
2051,20261,20092,40353
2052,19990,19892,39882
2053,19720,19686,39406
2054,19447,19475,38922
2055,19194,19283,38477
2056,18942,19086,38028
2057,18691,18881,37572
2058,18438,18675,37113
2059,18179,18464,36643
2060,17919,18247,36166
2061,17668,18033,35701
2062,17412,17818,35230
2063,17160,17599,34759
2064,16911,17380,34291
2065,16667,17170,33837
