year,male,female,total
2019,13054,12457,25511
2020,13017,12445,25462
2021,12974,12433,25407
2022,12927,12414,25341
2023,12875,12386,25261
2024,12818,12352,25170
2025,12762,12320,25082
2026,12700,12285,24985
2027,12628,12244,24872
2028,12554,12192,24746
2029,12471,12136,24607
2030,12376,12073,24449
2031,12280,12003,24283
2032,12179,11932,24111
2033,12069,11853,23922
2034,11956,11767,23723
2035,11852,11693,23545
2036,11737,11612,23349
2037,11616,11526,23142
2038,11483,11432,22915
2039,11338,11329,22667
2040,11190,11222,22412
2041,11040,11110,22150
2042,10888,10997,21885
2043,10735,10881,21616
2044,10574,10758,21332
2045,10427,10648,21075
2046,10274,10535,20809
2047,10124,10420,20544
2048,9969,10297,20266
2049,9810,10170,19980
2050,9651,10040,19691
2051,9491,9902,19393
2052,9336,9769,19105
2053,9179,9633,18812
2054,9023,9495,18518
2055,8876,9366,18242
2056,8729,9236,17965
2057,8584,9101,17685
2058,8438,8968,17406
2059,8296,8836,17132
2060,8153,8701,16854
2061,8011,8560,16571
2062,7872,8421,16293
2063,7734,8287,16021
2064,7600,8153,15753
2065,7473,8022,15495
