year,male,female,total
2019,25381,23815,49196
2020,25304,23800,49104
2021,25218,23783,49001
2022,25127,23762,48889
2023,25024,23730,48754
2024,24924,23690,48614
2025,24830,23660,48490
2026,24727,23621,48348
2027,24624,23575,48199
2028,24506,23509,48015
2029,24383,23435,47818
2030,24242,23350,47592
2031,24090,23250,47340
2032,23921,23141,47062
2033,23735,23013,46748
2034,23541,22875,46416
2035,23355,22753,46108
2036,23152,22613,45765
2037,22931,22454,45385
2038,22696,22281,44977
2039,22446,22093,44539
2040,22180,21885,44065
2041,21908,21665,43573
2042,21623,21437,43060
2043,21329,21192,42521
2044,21026,20940,41966
2045,20741,20706,41447
2046,20452,20466,40918
2047,20158,20217,40375
2048,19858,19956,39814
2049,19556,19689,39245
2050,19251,19419,38670
2051,18944,19141,38085
2052,18639,18867,37506
2053,18335,18592,36927
2054,18032,18316,36348
2055,17754,18056,35810
2056,17469,17803,35272
2057,17188,17555,34743
2058,16911,17299,34210
2059,16630,17040,33670
2060,16353,16784,33137
2061,16075,16528,32603
2062,15798,16277,32075
2063,15521,16018,31539
2064,15241,15765,31006
2065,14970,15527,30497
