year,male,female,total
2019,8967,8635,17602
2020,8928,8624,17552
2021,8888,8608,17496
2022,8841,8588,17429
2023,8787,8565,17352
2024,8732,8542,17274
2025,8682,8525,17207
2026,8629,8500,17129
2027,8576,8472,17048
2028,8520,8438,16958
2029,8456,8398,16854
2030,8389,8354,16743
2031,8313,8307,16620
2032,8237,8255,16492
2033,8161,8197,16358
2034,8085,8139,16224
2035,8012,8088,16100
2036,7931,8029,15960
2037,7846,7964,15810
2038,7754,7898,15652
2039,7661,7828,15489
2040,7564,7754,15318
2041,7466,7674,15140
2042,7363,7591,14954
2043,7260,7505,14765
2044,7155,7420,14575
2045,7058,7338,14396
2046,6956,7252,14208
2047,6854,7166,14020
2048,6752,7081,13833
2049,6652,6997,13649
2050,6552,6907,13459
2051,6450,6816,13266
2052,6352,6726,13078
2053,6254,6639,12893
2054,6152,6549,12701
2055,6059,6466,12525
2056,5965,6381,12346
2057,5872,6294,12166
2058,5782,6208,11990
2059,5691,6117,11808
2060,5599,6028,11627
2061,5510,5942,11452
2062,5419,5856,11275
2063,5333,5764,11097
2064,5246,5675,10921
2065,5162,5595,10757
