year,male,female,total
2019,48145,48991,97136
2020,48099,49052,97151
2021,48049,49102,97151
2022,47984,49140,97124
2023,47907,49156,97063
2024,47817,49159,96976
2025,47736,49172,96908
2026,47645,49172,96817
2027,47545,49155,96700
2028,47421,49120,96541
2029,47275,49056,96331
2030,47107,48971,96078
2031,46918,48866,95784
2032,46704,48733,95437
2033,46475,48577,95052
2034,46219,48390,94609
2035,45988,48233,94221
2036,45731,48051,93782
2037,45448,47838,93286
2038,45141,47600,92741
2039,44812,47334,92146
2040,44454,47041,91495
2041,44075,46724,90799
2042,43677,46381,90058
2043,43264,46015,89279
2044,42835,45631,88466
2045,42434,45282,87716
2046,42017,44905,86922
2047,41588,44504,86092
2048,41143,44078,85221
2049,40685,43634,84319
2050,40217,43176,83393
2051,39739,42697,82436
2052,39258,42213,81471
2053,38767,41705,80472
2054,38275,41201,79476
2055,37817,40725,78542
2056,37351,40240,77591
2057,36883,39750,76633
2058,36409,39250,75659
2059,35929,38741,74670
2060,35443,38224,73667
2061,34956,37701,72657
2062,34460,37165,71625
2063,33968,36636,70604
2064,33469,36096,69565
2065,32993,35597,68590
