year,male,female,total
2019,48800,48331,97131
2020,48762,48375,97137
2021,48713,48421,97134
2022,48652,48458,97110
2023,48580,48487,97067
2024,48498,48498,96996
2025,48429,48524,96953
2026,48350,48542,96892
2027,48268,48545,96813
2028,48167,48528,96695
2029,48047,48493,96540
2030,47911,48447,96358
2031,47754,48381,96135
2032,47580,48298,95878
2033,47391,48193,95584
2034,47180,48069,95249
2035,46996,47972,94968
2036,46786,47855,94641
2037,46560,47717,94277
2038,46311,47558,93869
2039,46041,47376,93417
2040,45748,47179,92927
2041,45438,46961,92399
2042,45109,46722,91831
2043,44767,46467,91234
2044,44406,46185,90591
2045,44069,45931,90000
2046,43712,45657,89369
2047,43332,45356,88688
2048,42936,45028,87964
2049,42521,44670,87191
2050,42096,44292,86388
2051,41655,43895,85550
2052,41196,43478,84674
2053,40725,43044,83769
2054,40245,42599,82844
2055,39797,42178,81975
2056,39338,41739,81077
2057,38870,41291,80161
2058,38394,40837,79231
2059,37916,40360,78276
2060,37427,39869,77296
2061,36931,39367,76298
2062,36432,38857,75289
2063,35929,38339,74268
2064,35425,37818,73243
2065,34943,37321,72264
