year,male,female,total
2019,25113,24820,49933
2020,25087,24834,49921
2021,25046,24842,49888
2022,24993,24837,49830
2023,24934,24826,49760
2024,24864,24805,49669
2025,24802,24789,49591
2026,24731,24764,49495
2027,24651,24733,49384
2028,24557,24690,49247
2029,24462,24640,49102
2030,24344,24582,48926
2031,24224,24515,48739
2032,24092,24443,48535
2033,23959,24367,48326
2034,23812,24284,48096
2035,23686,24220,47906
2036,23551,24150,47701
2037,23410,24074,47484
2038,23266,23986,47252
2039,23115,23895,47010
2040,22958,23795,46753
2041,22795,23682,46477
2042,22626,23567,46193
2043,22450,23445,45895
2044,22267,23314,45581
2045,22101,23202,45303
2046,21923,23076,44999
2047,21739,22933,44672
2048,21547,22782,44329
2049,21345,22614,43959
2050,21136,22442,43578
2051,20918,22256,43174
2052,20695,22060,42755
2053,20458,21856,42314
2054,20216,21639,41855
2055,19982,21433,41415
2056,19743,21222,40965
2057,19502,21000,40502
2058,19254,20772,40026
2059,19001,20535,39536
2060,18741,20291,39032
2061,18482,20037,38519
2062,18219,19782,38001
2063,17958,19521,37479
2064,17696,19259,36955
2065,17449,19008,36457
