year,male,female,total
2019,26251,25270,51521
2020,26153,25251,51404
2021,26054,25229,51283
2022,25953,25200,51153
2023,25843,25157,51000
2024,25723,25107,50830
2025,25615,25070,50685
2026,25500,25022,50522
2027,25376,24959,50335
2028,25236,24886,50122
2029,25089,24798,49887
2030,24928,24703,49631
2031,24749,24589,49338
2032,24567,24459,49026
2033,24363,24317,48680
2034,24148,24162,48310
2035,23940,24023,47963
2036,23718,23866,47584
2037,23482,23690,47172
2038,23230,23497,46727
2039,22964,23291,46255
2040,22687,23064,45751
2041,22401,22824,45225
2042,22101,22570,44671
2043,21795,22310,44105
2044,21484,22039,43523
2045,21188,21790,42978
2046,20890,21528,42418
2047,20588,21249,41837
2048,20281,20967,41248
2049,19970,20677,40647
2050,19652,20383,40035
2051,19339,20082,39421
2052,19020,19772,38792
2053,18707,19468,38175
2054,18393,19166,37559
2055,18105,18885,36990
2056,17817,18603,36420
2057,17527,18322,35849
2058,17234,18034,35268
2059,16947,17745,34692
2060,16662,17457,34119
2061,16379,17173,33552
2062,16091,16885,32976
2063,15806,16600,32406
2064,15518,16314,31832
2065,15246,16050,31296
