year,male,female,total
2019,1962,1852,3814
2020,1968,1853,3821
2021,1972,1853,3825
2022,1976,1851,3827
2023,1974,1850,3824
2024,1971,1847,3818
2025,1973,1848,3821
2026,1967,1845,3812
2027,1955,1842,3797
2028,1942,1838,3780
2029,1930,1831,3761
2030,1915,1824,3739
2031,1899,1814,3713
2032,1884,1806,3690
2033,1868,1797,3665
2034,1852,1787,3639
2035,1840,1784,3624
2036,1823,1775,3598
2037,1805,1766,3571
2038,1789,1757,3546
2039,1771,1745,3516
2040,1755,1732,3487
2041,1738,1720,3458
2042,1720,1707,3427
2043,1702,1693,3395
2044,1684,1680,3364
2045,1668,1668,3336
2046,1651,1656,3307
2047,1632,1644,3276
2048,1614,1630,3244
2049,1596,1618,3214
2050,1577,1603,3180
2051,1555,1589,3144
2052,1533,1574,3107
2053,1511,1556,3067
2054,1489,1539,3028
2055,1469,1522,2991
2056,1447,1503,2950
2057,1426,1484,2910
2058,1405,1467,2872
2059,1381,1448,2829
2060,1360,1428,2788
2061,1337,1409,2746
2062,1313,1388,2701
2063,1287,1365,2652
2064,1261,1340,2601
2065,1238,1319,2557
