year,male,female,total
2019,2368,1876,4244
2020,2339,1861,4200
2021,2307,1847,4154
2022,2275,1831,4106
2023,2245,1815,4060
2024,2215,1797,4012
2025,2189,1780,3969
2026,2161,1761,3922
2027,2132,1740,3872
2028,2102,1723,3825
2029,2073,1702,3775
2030,2046,1681,3727
2031,2014,1658,3672
2032,1987,1637,3624
2033,1960,1612,3572
2034,1933,1593,3526
2035,1908,1576,3484
2036,1882,1559,3441
2037,1851,1541,3392
2038,1821,1523,3344
2039,1789,1504,3293
2040,1756,1486,3242
2041,1723,1469,3192
2042,1692,1453,3145
2043,1661,1436,3097
2044,1628,1419,3047
2045,1598,1403,3001
2046,1566,1385,2951
2047,1536,1366,2902
2048,1504,1346,2850
2049,1472,1327,2799
2050,1440,1308,2748
2051,1408,1290,2698
2052,1377,1273,2650
2053,1347,1256,2603
2054,1318,1235,2553
2055,1291,1221,2512
2056,1265,1206,2471
2057,1241,1188,2429
2058,1216,1167,2383
2059,1192,1148,2340
2060,1170,1127,2297
2061,1146,1106,2252
2062,1122,1086,2208
2063,1097,1065,2162
2064,1072,1047,2119
2065,1048,1028,2076
