year,male,female,total
2019,45247,44198,89445
2020,45304,44352,89656
2021,45341,44496,89837
2022,45361,44620,89981
2023,45358,44729,90087
2024,45335,44817,90152
2025,45321,44906,90227
2026,45285,44985,90270
2027,45230,45035,90265
2028,45149,45064,90213
2029,45041,45072,90113
2030,44911,45057,89968
2031,44760,45020,89780
2032,44577,44953,89530
2033,44367,44857,89224
2034,44134,44734,88868
2035,43920,44628,88548
2036,43675,44495,88170
2037,43407,44335,87742
2038,43116,44145,87261
2039,42801,43925,86726
2040,42465,43680,86145
2041,42108,43410,85518
2042,41734,43115,84849
2043,41350,42803,84153
2044,40953,42471,83424
2045,40582,42168,82750
2046,40195,41844,82039
2047,39790,41494,81284
2048,39379,41128,80507
2049,38954,40733,79687
2050,38515,40325,78840
2051,38062,39900,77962
2052,37594,39462,77056
2053,37118,39009,76127
2054,36631,38545,75176
2055,36176,38116,74292
2056,35705,37671,73376
2057,35223,37217,72440
2058,34732,36744,71476
2059,34230,36267,70497
2060,33720,35774,69494
2061,33195,35267,68462
2062,32663,34751,67414
2063,32127,34224,66351
2064,31586,33690,65276
2065,31066,33182,64248
