年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-64歲,超過64歲,超過20歲,18-19歲
2017-07,65000010-001,新北市板橋區,留侯里,674,1648,776,872,226,1211,211,1344,38
2017-07,65000010-002,新北市板橋區,流芳里,641,1583,739,844,223,1122,238,1282,28
2017-07,65000010-003,新北市板橋區,赤松里,318,810,399,411,133,535,142,632,22
2017-07,65000010-004,新北市板橋區,黃石里,442,1170,576,594,202,794,174,906,25
2017-07,65000010-005,新北市板橋區,挹秀里,768,1857,896,961,259,1308,290,1520,38
2017-07,65000010-006,新北市板橋區,湳興里,2335,5643,2700,2943,677,4280,686,4670,125
2017-07,65000010-007,新北市板橋區,新興里,1501,3329,1591,1738,369,2469,491,2815,67
2017-07,65000010-008,新北市板橋區,社後里,4915,9246,5158,4088,657,7442,1147,8231,140
2017-07,65000010-009,新北市板橋區,香社里,1590,4468,2241,2227,517,3435,516,3717,98
2017-07,65000010-010,新北市板橋區,中正里,1613,4514,2206,2308,577,3473,464,3698,89
2017-07,65000010-011,新北市板橋區,自強里,2041,5369,2623,2746,658,3797,914,4538,67
2017-07,65000010-012,新北市板橋區,自立里,1100,2957,1433,1524,355,2193,409,2456,55
2017-07,65000010-013,新北市板橋區,光華里,1106,2794,1374,1420,318,2081,395,2348,51
2017-07,65000010-014,新北市板橋區,國光里,1559,3825,1848,1977,312,2911,602,3287,91
2017-07,65000010-015,新北市板橋區,港尾里,1106,3046,1440,1606,435,2324,287,2428,78
2017-07,65000010-016,新北市板橋區,金華里,1466,4138,2015,2123,533,3083,522,3417,82
2017-07,65000010-017,新北市板橋區,港德里,1934,5086,2506,2580,618,3738,730,4230,96
2017-07,65000010-018,新北市板橋區,民權里,1089,2771,1369,1402,313,1958,500,2343,38
2017-07,65000010-019,新北市板橋區,建國里,1429,3720,1810,1910,417,2758,545,3110,76
2017-07,65000010-020,新北市板橋區,漢生里,1667,4451,2154,2297,664,3131,656,3608,64
2017-07,65000010-021,新北市板橋區,公舘里,1469,4047,1989,2058,578,2928,541,3200,103
2017-07,65000010-022,新北市板橋區,新民里,1742,4687,2271,2416,783,3315,589,3659,84
2017-07,65000010-023,新北市板橋區,幸福里,1517,4153,2073,2080,493,3104,556,3422,93
2017-07,65000010-024,新北市板橋區,忠誠里,1692,4258,2059,2199,546,3049,663,3467,97
2017-07,65000010-025,新北市板橋區,百壽里,1013,2624,1267,1357,422,1842,360,2056,64
2017-07,65000010-026,新北市板橋區,介壽里,1220,3157,1511,1646,458,2239,460,2536,65
2017-07,65000010-027,新北市板橋區,新埔里,877,2187,1064,1123,224,1619,344,1865,45
2017-07,65000010-028,新北市板橋區,華江里,3192,7816,3633,4183,1440,5677,699,5963,165
2017-07,65000010-029,新北市板橋區,江翠里,1786,4898,2426,2472,565,3714,619,4065,115
2017-07,65000010-030,新北市板橋區,純翠里,2093,5689,2789,2900,670,4388,631,4715,122
2017-07,65000010-031,新北市板橋區,溪頭里,2425,6310,3108,3202,777,4766,767,5169,145
2017-07,65000010-032,新北市板橋區,聯翠里,1654,3775,1774,2001,427,2855,493,3138,78
2017-07,65000010-033,新北市板橋區,宏翠里,2172,4935,2364,2571,570,3924,441,4126,104
2017-07,65000010-034,新北市板橋區,仁翠里,1116,3020,1453,1567,317,2286,417,2563,54
2017-07,65000010-035,新北市板橋區,新翠里,3073,8133,3925,4208,977,6436,720,6655,201
2017-07,65000010-036,新北市板橋區,吉翠里,1378,3906,1910,1996,477,3026,403,3232,79
2017-07,65000010-037,新北市板橋區,德翠里,2716,7651,3738,3913,1144,6001,506,6034,184
2017-07,65000010-038,新北市板橋區,滿翠里,1137,3084,1487,1597,326,2331,427,2599,63
2017-07,65000010-039,新北市板橋區,明翠里,1941,4970,2406,2564,521,3766,683,4209,86
2017-07,65000010-040,新北市板橋區,松翠里,1393,3521,1707,1814,406,2678,437,2924,78
2017-07,65000010-041,新北市板橋區,柏翠里,1765,4271,2035,2236,541,3179,551,3509,93
2017-07,65000010-042,新北市板橋區,龍翠里,2009,5266,2541,2725,584,4114,568,4404,108
2017-07,65000010-043,新北市板橋區,華翠里,1390,3869,1850,2019,614,2840,415,3060,76
2017-07,65000010-044,新北市板橋區,忠翠里,4427,11033,5189,5844,1824,8343,866,8504,266
2017-07,65000010-045,新北市板橋區,嵐翠里,983,2617,1316,1301,297,1989,331,2187,51
2017-07,65000010-046,新北市板橋區,文翠里,1598,4212,2083,2129,453,3208,551,3524,103
2017-07,65000010-047,新北市板橋區,青翠里,1216,3126,1611,1515,330,2388,408,2640,63
2017-07,65000010-048,新北市板橋區,懷翠里,2244,6274,3095,3179,668,4924,682,5209,167
2017-07,65000010-049,新北市板橋區,福翠里,560,1391,692,699,133,1044,214,1204,23
2017-07,65000010-050,新北市板橋區,港嘴里,2442,6348,3131,3217,677,5022,649,5392,117
2017-07,65000010-051,新北市板橋區,振興里,1677,4582,2255,2327,457,3527,598,3890,95
2017-07,65000010-052,新北市板橋區,振義里,1637,4388,2151,2237,447,3397,544,3667,101
2017-07,65000010-053,新北市板橋區,光復里,1356,3448,1752,1696,405,2636,407,2841,87
2017-07,65000010-054,新北市板橋區,埔墘里,2560,6443,3082,3361,679,5080,684,5407,154
2017-07,65000010-055,新北市板橋區,長壽里,1043,2967,1467,1500,332,2234,401,2492,55
2017-07,65000010-056,新北市板橋區,福壽里,1270,3440,1695,1745,344,2720,376,2902,69
2017-07,65000010-057,新北市板橋區,海山里,2840,8485,4046,4439,1728,5993,764,6181,224
2017-07,65000010-058,新北市板橋區,九如里,1078,3007,1444,1563,380,2242,385,2435,82
2017-07,65000010-059,新北市板橋區,玉光里,2176,5593,2640,2953,860,4148,585,4392,142
2017-07,65000010-060,新北市板橋區,光仁里,1050,3104,1543,1561,448,2248,408,2482,70
2017-07,65000010-061,新北市板橋區,埤墘里,1740,4674,2244,2430,851,3324,499,3578,94
2017-07,65000010-062,新北市板橋區,永安里,1417,3652,1791,1861,511,2737,404,2964,66
2017-07,65000010-063,新北市板橋區,雙玉里,1570,4392,2123,2269,764,3151,477,3354,90
2017-07,65000010-064,新北市板橋區,廣新里,1304,3828,1887,1941,591,2785,452,3031,80
2017-07,65000010-065,新北市板橋區,深丘里,3721,9384,4520,4864,1835,6666,883,7015,192
2017-07,65000010-066,新北市板橋區,香丘里,1480,4024,1959,2065,686,2899,439,3121,83
2017-07,65000010-067,新北市板橋區,西安里,1046,2846,1399,1447,377,2088,381,2300,68
2017-07,65000010-068,新北市板橋區,東丘里,1685,4970,2425,2545,783,3569,618,3895,109
2017-07,65000010-069,新北市板橋區,長安里,1739,5076,2447,2629,1023,3647,406,3760,98
2017-07,65000010-070,新北市板橋區,福丘里,2238,5046,2352,2694,835,3660,551,3943,103
2017-07,65000010-071,新北市板橋區,福祿里,1584,4159,1955,2204,638,3037,484,3297,70
2017-07,65000010-072,新北市板橋區,民族里,1804,5178,2491,2687,1198,3445,535,3687,113
2017-07,65000010-073,新北市板橋區,國泰里,1465,3829,1813,2016,579,2766,484,3024,75
2017-07,65000010-074,新北市板橋區,福德里,1991,5414,2708,2706,741,3919,754,4357,124
2017-07,65000010-075,新北市板橋區,景星里,1489,3596,1712,1884,429,2700,467,2988,79
2017-07,65000010-076,新北市板橋區,福星里,1354,3717,1782,1935,496,2732,489,2982,88
2017-07,65000010-077,新北市板橋區,鄉雲里,1554,3847,1830,2017,448,2886,513,3188,77
2017-07,65000010-078,新北市板橋區,廣德里,2616,7133,3475,3658,982,5378,773,5740,163
2017-07,65000010-079,新北市板橋區,大豐里,1796,4926,2401,2525,611,3637,678,4030,111
2017-07,65000010-080,新北市板橋區,重慶里,3296,9203,4490,4713,1242,7150,811,7395,234
2017-07,65000010-081,新北市板橋區,仁愛里,1183,3307,1645,1662,375,2480,452,2761,65
2017-07,65000010-082,新北市板橋區,和平里,1636,4112,1935,2177,883,2951,278,3043,69
2017-07,65000010-083,新北市板橋區,廣福里,1567,4325,2114,2211,623,3313,389,3445,89
2017-07,65000010-084,新北市板橋區,華興里,1620,4328,2094,2234,489,3363,476,3563,103
2017-07,65000010-085,新北市板橋區,華貴里,1028,2826,1363,1463,359,2078,389,2341,48
2017-07,65000010-086,新北市板橋區,華德里,2958,7428,3596,3832,1003,5691,734,6040,169
2017-07,65000010-087,新北市板橋區,華東里,3092,7299,3549,3750,852,5670,777,6068,155
2017-07,65000010-088,新北市板橋區,信義里,1719,4433,2185,2248,548,3312,573,3683,73
2017-07,65000010-089,新北市板橋區,浮洲里,1410,4199,2148,2051,507,3057,635,3475,82
