year,male,female,total
2019,87902,93150,181052
2020,87842,93313,181155
2021,87751,93443,181194
2022,87639,93533,181172
2023,87493,93584,181077
2024,87322,93591,180913
2025,87168,93618,180786
2026,86989,93604,180593
2027,86780,93544,180324
2028,86539,93432,179971
2029,86259,93278,179537
2030,85939,93072,179011
2031,85580,92815,178395
2032,85177,92507,177684
2033,84736,92143,176879
2034,84251,91730,175981
2035,83805,91366,175171
2036,83315,90952,174267
2037,82781,90483,173264
2038,82208,89971,172179
2039,81599,89407,171006
2040,80946,88782,169728
2041,80254,88117,168371
2042,79527,87410,166937
2043,78774,86656,165430
2044,77990,85859,163849
2045,77256,85128,162384
2046,76496,84354,160850
2047,75702,83532,159234
2048,74886,82662,157548
2049,74045,81747,155792
2050,73188,80811,153999
2051,72314,79831,152145
2052,71429,78836,150265
2053,70528,77827,148355
2054,69620,76802,146422
2055,68761,75839,144600
2056,67889,74865,142754
2057,67009,73869,140878
2058,66116,72851,138967
2059,65218,71819,137037
2060,64314,70777,135091
2061,63399,69716,133115
2062,62471,68643,131114
2063,61540,67556,129096
2064,60608,66475,127083
2065,59718,65455,125173
